year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,20137,15974,4163,21,674,1,181,4655,31,3380,116.82,43
2015-03-01,21595,17467,4128,19,228,6,267,4083,31,3026,104.56,48
2016-03-01,22574,17781,4793,21,1194,1,307,5679,28,4061,140.35,39
2017-03-01,21755,17326,4429,20,1468,1,307,5588,27,4079,140.98,39
2018-03-01,25210,20364,4846,19,1404,1,315,5933,29,4219,145.8,41
2019-03-01,30358,25160,5198,17,2028,4,266,6956,29,4928,170.29,35
2020-03-01,29919,24809,5109,17,1832,3,246,6692,22,5212,180.11,67
2021-03-01,27741,22803,4938,18,1570,7,259,6241,22,4857,167.85,83
2022-03-01,33145,27886,5259,16,2671,9,270,7652,19,6166,213.08,66
2023-03-01,36455,29991,6465,18,1703,40,286,7842,23,6060,214.17,65
2024-03-01,44870,36106,8765,20,1700,60,365,10040,23,7708,276.1,29
2025-03-01,50995,41440,9555,19,1472,389,414,10224,28,7325,262.29,80
2026-02-22,57719,46010,11709,20,1836,971,475,12100,,8884,318.04,
