year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,21,0,14,17,56,-24,-34,50
2015-03-01,0,0,19,0,12,20,43,-11,-22,40
2016-03-01,0,0,21,0,12,17,49,-20,-4,45
2017-03-01,0,0,20,0,16,18,56,-22,-2,35
2018-03-01,0,0,19,0,22,16,68,-31,-21,31
2019-03-01,0,0,17,0,31,16,63,-17,-4,30
2020-03-01,0,0,17,0,21,18,56,-16,-9,30
2021-03-01,0,0,18,0,36,28,85,-22,0,25
2022-03-01,0,0,16,0,17,18,54,-19,-3,23
2023-03-01,0,0,18,0,18,22,58,-18,-9,27
2024-03-01,0,0,20,0,17,19,64,-28,-30,34
2025-03-01,0,0,19,0,15,22,66,-29,-6,28
