year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,6,35,102,109,253,150,4,0,99,253
2015-03-01,6,40,91,127,265,150,3,0,111,265
2016-03-01,6,47,75,122,250,144,1,0,104,250
2017-03-01,6,56,63,140,265,146,0,0,119,265
2018-03-01,6,80,25,172,285,136,13,0,135,285
2019-03-01,6,98,29,140,273,152,0,0,121,273
2020-03-01,6,107,40,89,242,150,22,0,69,242
2021-03-01,6,110,35,140,291,126,30,0,135,291
2022-03-01,6,121,39,171,337,147,8,0,182,337
2023-03-01,6,140,66,146,358,199,12,0,147,358
2024-03-01,6,161,160,179,505,276,49,0,181,505
2025-03-01,13,182,152,301,648,283,90,0,275,648
2025-09-01,13,194,132,354,693,367,6,0,320,693
