Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,177.00,177.00,170.50,172.55,172.969857920594874518,7531,169,1302636.00,3629,48.19,6.50,-4.45
31-December-2025,172.30,175.75,171.15,172.75,172.621399176954732510,3888,77,671152.00,3082,79.27,4.60,0.45
30-December-2025,173.95,177.55,169.95,172.30,172.715178571428571428,2240,120,386882.00,1488,66.43,7.60,-1.65
29-December-2025,176.15,176.15,169.00,169.85,172.522332506203473945,4030,213,695265.00,3125,77.54,7.15,-6.30
26-December-2025,181.70,181.70,176.55,177.90,177.648080694872513309,3569,103,634026.00,2574,72.12,5.15,-3.80
24-December-2025,178.95,181.70,177.60,178.90,179.730136986301369863,2920,103,524812.00,1752,60.00,4.10,-0.05
23-December-2025,175.00,178.85,173.55,176.70,175.545368620037807183,3174,115,557181.00,2048,64.52,5.30,1.70
22-December-2025,171.00,177.60,170.25,175.40,174.595545454545454545,11000,219,1920551.00,9175,83.41,7.35,4.40
19-December-2025,168.00,173.15,166.05,169.95,171.402655863155525545,4443,148,761542.00,2435,54.81,7.10,1.95
18-December-2025,170.00,171.65,167.20,169.65,169.619851451721809588,2962,182,502414.00,1954,65.97,4.45,-0.35
17-December-2025,176.85,176.85,170.00,171.75,173.401561760530052058,4226,139,732795.00,1622,38.38,6.85,-5.10
16-December-2025,175.70,179.55,175.70,176.85,178.160497572815533980,3296,141,587217.00,1656,50.24,3.85,1.15
15-December-2025,179.00,179.00,175.65,177.30,176.996233521657250470,3186,132,563910.00,2296,72.07,3.35,-1.70
12-December-2025,176.95,183.00,169.90,176.95,178.148486403283735248,19490,404,3472114.00,11926,61.19,13.10,0.00
11-December-2025,169.80,172.00,167.50,170.30,169.739510881759030738,4457,122,756529.00,3068,68.84,4.50,0.50
10-December-2025,169.65,172.25,166.95,169.80,168.699457259158751696,2948,84,497326.00,1838,62.35,5.30,0.15
9-December-2025,163.35,171.00,159.00,169.75,165.367888748419721871,11074,253,1831284.00,4859,43.88,12.00,6.40
8-December-2025,171.20,179.80,163.05,166.90,167.934596783263974805,17782,523,2986213.00,8587,48.29,16.75,-4.30
5-December-2025,178.05,178.05,173.65,175.80,175.890379008746355685,5145,235,904956.00,2515,48.88,4.40,-2.25
4-December-2025,179.00,180.20,175.00,179.30,177.402921485088253195,3286,115,582946.00,2375,72.28,5.20,0.30
3-December-2025,181.80,181.80,176.25,179.45,178.525615624115482592,3533,130,630731.00,2457,69.54,5.55,-2.35
2-December-2025,182.15,182.35,180.25,181.00,181.010849909584086799,2212,91,400396.00,1619,73.19,2.10,-1.15
1-December-2025,181.10,186.00,180.00,184.05,182.736582478295185477,5068,173,926109.00,2683,52.94,6.00,2.95
28-November-2025,182.00,186.85,179.75,181.30,181.901823467230443974,7568,214,1376633.00,4470,59.06,7.10,-0.70
27-November-2025,172.05,191.00,172.05,183.35,185.382048789110836132,22628,602,4194825.00,11230,49.63,18.95,11.30
26-November-2025,168.10,176.85,168.10,174.15,174.372440688982775430,9231,676,1609632.00,6565,71.12,8.75,6.05
25-November-2025,179.70,181.10,173.55,174.65,176.357886965794438520,12191,226,2149979.00,10064,82.55,7.55,-5.05
