year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,560,531,29,5,0,6,14,9,26,7,1.07,37
2015-03-01,693,661,32,5,2,6,16,11,29,8,1.29,35
2016-03-01,700,670,30,4,2,5,17,10,27,7,1.15,39
2017-03-01,840,803,37,4,1,4,17,17,28,12,1.94,23
2018-03-01,970,905,65,7,1,3,19,44,35,28,4.49,11
2019-03-01,904,853,50,6,5,3,21,31,31,21,3.41,15
2020-03-01,589,553,36,6,2,3,22,12,-2,13,1.99,13
2021-03-01,548,521,27,5,2,4,18,7,28,5,0.77,33
2022-03-01,818,785,32,4,5,4,18,16,25,12,1.9,21
2023-03-01,1051,1005,46,4,4,4,17,30,27,22,3.43,20
2024-03-01,1067,1006,61,6,5,8,24,34,25,25,3.99,20
2025-03-01,1289,1213,75,6,4,9,26,44,26,33,5.21,21
2026-02-22,1770,1677,92,5,5,10,33,54,,40,6.43,
