year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,295,16496,4045,10452,31289,5877,1228,11380,12803,31289
2015-03-01,296,18959,3728,9961,32945,5929,2179,13138,11698,32945
2016-03-01,296,22127,2917,10159,35500,7596,1562,13547,12794,35500
2017-03-01,297,26489,2851,10332,39968,7771,2040,17908,12248,39968
2018-03-01,595,29699,2958,14195,47447,7859,3129,20583,15876,47447
2019-03-01,596,33613,2571,15916,52697,10082,2420,22016,18179,52697
2020-03-01,597,33871,3027,13007,50502,10395,4009,19938,16160,50502
2021-03-01,597,34354,7786,18827,61564,12011,6125,21783,21645,61564
2022-03-01,598,37600,6743,21665,66606,14904,5263,24204,22235,66606
2023-03-01,599,42758,5026,27398,75780,16976,2785,27087,28932,75780
2024-03-01,600,51692,2051,29367,83709,17805,3763,29207,32934,83709
2025-03-01,600,60985,1682,36382,99649,19651,3905,35468,40625,99649
2025-09-01,601,65890,1614,40963,109068,22441,1272,37375,47981,109068
