Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-February-2026,3432.45,3525.70,3342.85,3363.25,3444.538127817449236047,100268,12143,345376949.00,32930,32.84,182.85,-69.20
30-January-2026,3293.15,3451.15,3279.15,3432.20,3366.886946996427529490,908335,8958,3058261255.00,850165,93.60,172.00,139.05
29-January-2026,3445.30,3484.60,3322.80,3385.50,3351.374080569520765943,384885,23108,1289893613.00,281351,73.10,161.80,-59.80
28-January-2026,3376.00,3455.85,3375.00,3448.65,3421.051492205841917130,94558,20930,323487787.00,47450,50.18,80.85,72.65
27-January-2026,3460.40,3463.10,3345.00,3394.30,3415.374079747903727884,1122111,17130,3832428824.00,989375,88.17,118.10,-66.10
23-January-2026,3557.50,3595.00,3535.00,3542.60,3560.728489780988523615,109355,3448,389383464.00,91172,83.37,60.00,-14.90
22-January-2026,3618.95,3620.95,3534.75,3572.45,3564.075855996869497162,102220,22614,364319834.00,25188,24.64,86.20,-46.50
21-January-2026,3524.15,3587.60,3518.50,3552.40,3556.991290066616227786,54191,10761,192756915.00,11255,20.77,69.10,28.25
20-January-2026,3641.85,3677.05,3540.05,3553.80,3613.878055167597765363,34368,5203,124201761.00,17565,51.11,137.00,-88.05
19-January-2026,3716.75,3716.75,3615.30,3657.45,3647.745982079362821789,21093,2692,76941906.00,11019,52.24,101.45,-59.30
16-January-2026,3676.40,3730.00,3653.00,3658.75,3694.750368692720952280,37972,2918,140297061.00,20872,54.97,77.00,-17.65
14-January-2026,3661.50,3680.90,3634.15,3649.40,3649.774547649141985219,351276,31090,1282078204.00,179357,51.06,46.75,-12.10
13-January-2026,3686.75,3706.25,3631.30,3658.20,3653.313776642984014209,72064,17864,263272404.00,10711,14.86,74.95,-28.55
12-January-2026,3677.05,3712.95,3600.00,3681.15,3650.435709037472446730,29942,4987,109301346.00,13074,43.66,112.95,4.10
9-January-2026,3714.95,3748.00,3668.40,3677.05,3701.918499434460223702,31828,5895,117824662.00,18040,56.68,79.60,-37.90
8-January-2026,3720.05,3756.40,3694.80,3724.15,3726.199623127316521143,192638,25779,717807643.00,17200,8.93,61.60,4.10
7-January-2026,3800.05,3805.00,3719.00,3748.05,3753.864163905770442488,49199,16293,184686363.00,11254,22.87,86.00,-52.00
6-January-2026,3780.20,3818.30,3757.00,3784.70,3775.453926162230419034,30093,5360,113614735.00,15821,52.57,61.30,4.50
5-January-2026,3802.05,3840.00,3785.15,3791.55,3812.638983173250523579,27694,3745,105587224.00,13524,48.83,54.85,-10.50
2-January-2026,3764.00,3811.00,3747.50,3801.80,3796.257764501177956053,64943,8139,246540368.00,44133,67.96,63.50,37.80
1-January-2026,3722.00,3774.00,3722.00,3761.70,3757.633117183205475587,205567,19170,772445367.00,48718,23.70,52.00,39.70
31-December-2025,3659.95,3722.00,3640.00,3709.60,3678.340927820059140045,82516,10367,303521980.00,53231,64.51,82.00,49.65
30-December-2025,3606.85,3684.85,3579.35,3663.50,3639.334078975984092956,32187,3071,117139246.00,14413,44.78,105.50,56.65
29-December-2025,3633.30,3640.25,3588.05,3591.70,3607.301603874822355636,68958,2378,248752304.00,58163,84.35,52.20,-41.60
26-December-2025,3621.20,3645.00,3615.20,3621.20,3624.210794376535722061,128604,8466,466088005.00,113616,88.35,29.80,0.00
24-December-2025,3622.00,3657.10,3610.70,3637.60,3638.805630650454551170,79529,15507,289390573.00,10664,13.41,46.40,15.60
23-December-2025,3615.20,3636.95,3604.50,3624.80,3618.553473950827547054,22899,8467,82861256.00,6272,27.39,32.45,9.60
22-December-2025,3601.00,3625.05,3576.35,3614.45,3603.540492590273429346,19164,2294,69058250.00,9486,49.50,48.70,13.45
19-December-2025,3584.00,3614.95,3558.45,3602.90,3595.845348452243006124,24164,3201,86890007.00,12958,53.63,56.50,18.90
18-December-2025,3618.15,3618.15,3540.00,3587.00,3565.540275794060191276,746354,38090,2661155247.00,490987,65.78,78.15,-31.15
17-December-2025,3624.05,3640.75,3594.00,3613.05,3609.619297020484171322,34368,4786,124055396.00,19019,55.34,46.75,-11.00
