year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,40508,35787,4722,12,770,259,863,4369,14,3758,30.51,22
2015-03-01,38445,34271,4173,11,1185,214,975,4169,20,3321,26.74,21
2016-03-01,40875,36255,4620,11,919,186,1068,4284,25,3205,25.8,22
2017-03-01,44054,39539,4515,10,1894,160,1526,4723,23,3643,29.33,21
2018-03-01,48686,42462,6224,13,1470,112,1479,6102,29,4356,35.04,20
2019-03-01,53614,46974,6640,12,1659,113,1860,6325,24,4796,38.58,21
2020-03-01,45488,39690,5798,13,-346,113,2223,3116,57,1331,10.7,21
2021-03-01,44630,37672,6957,16,-1888,396,2370,2303,57,984,7.92,106
2022-03-01,57787,50759,7027,12,1845,226,2498,6148,21,4870,39.17,28
2023-03-01,86645,74581,12064,14,-506,273,3154,8131,19,6549,52.66,30
2024-03-01,101336,86206,15130,15,1956,140,3488,13458,21,10642,85.58,24
2025-03-01,118625,100209,18416,16,1712,250,4227,15650,24,11855,95.33,26
2026-02-22,139773,117279,22494,16,1251,259,4398,19088,,14339,115.3,
