year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,12,0,23,35,75,-18,-18,23
2015-03-01,0,0,11,0,24,32,70,-14,-25,18
2016-03-01,0,0,11,0,22,33,83,-27,-26,18
2017-03-01,0,0,10,0,24,31,78,-23,-19,16
2018-03-01,0,0,13,0,24,29,92,-39,-28,18
2019-03-01,0,0,12,0,27,37,92,-29,-19,18
2020-03-01,0,0,13,0,24,39,78,-15,-18,14
2021-03-01,0,0,16,0,18,58,129,-53,-51,14
2022-03-01,0,0,12,0,19,51,111,-41,-27,15
2023-03-01,0,0,14,0,17,50,97,-30,-23,21
2024-03-01,0,0,15,0,16,48,92,-27,-16,26
2025-03-01,0,0,16,0,18,44,99,-38,-26,27
