Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,16700.00,16797.40,16612.00,16715.20,16720.272038021953151522,8837,2138,147757044.00,3325,37.63,185.40,15.20
31-December-2025,16631.35,16781.90,16620.00,16704.25,16682.808138759172781854,7495,2372,125037647.00,3510,46.83,161.90,72.90
30-December-2025,16598.50,16825.00,16474.05,16603.90,16652.956480650191371733,42326,6553,704853036.00,37645,88.94,350.95,5.40
29-December-2025,16575.90,16680.00,16500.10,16560.15,16585.854495788754837241,21965,2465,364308294.00,16850,76.71,179.90,-15.75
26-December-2025,16603.40,16700.00,16543.60,16589.80,16601.338983050847457627,5782,1192,95988942.00,3581,61.93,156.40,-13.60
24-December-2025,16560.50,16727.00,16537.60,16707.90,16672.055866791160908807,6426,2556,107134631.00,2111,32.85,189.40,147.40
23-December-2025,16798.80,16798.80,16555.95,16577.15,16619.185212033345415005,2759,993,45852332.00,1459,52.88,242.85,-221.65
22-December-2025,16410.25,16696.10,16410.25,16641.25,16524.559343244731441157,19977,2859,330111122.00,15532,77.75,285.85,231.00
19-December-2025,16337.20,16473.00,16337.20,16425.20,16428.365298172010788133,3337,791,54821455.00,2168,64.97,135.80,88.00
18-December-2025,16409.50,16480.00,16225.00,16337.20,16333.113745878772508242,7886,2088,128802935.00,1791,22.71,255.00,-72.30
17-December-2025,16401.00,16494.65,16360.00,16393.40,16414.441875401412973667,3114,650,51114572.00,2029,65.16,134.65,-7.60
16-December-2025,16403.15,16430.00,16326.00,16349.95,16390.219839142091152815,10444,479,171179456.00,9641,92.31,104.00,-53.20
15-December-2025,16518.45,16518.45,16362.40,16403.15,16453.246254746289264756,14485,924,238325272.00,12897,89.04,156.05,-115.30
12-December-2025,16241.05,16535.00,16241.05,16520.90,16468.532517354767994154,10948,2362,180297494.00,5836,53.31,293.95,279.85
11-December-2025,16018.95,16295.45,15994.95,16262.75,16236.974799433695139216,10595,2661,172030748.00,2955,27.89,300.50,243.80
10-December-2025,16012.65,16129.90,15939.75,16003.75,16046.956560882286743191,4443,2827,71296628.00,1582,35.61,190.15,-8.90
9-December-2025,16138.95,16214.30,15990.00,16012.30,16082.889031705227077977,2334,673,37537463.00,1032,44.22,224.30,-126.65
8-December-2025,16284.95,16284.95,16100.00,16182.20,16178.553698286669452569,2393,681,38715279.00,1022,42.71,184.95,-102.75
5-December-2025,15997.20,16341.35,15985.05,16277.30,16188.045694864048338368,7944,1939,128597835.00,4221,53.13,356.30,280.10
4-December-2025,16061.00,16135.00,15888.05,15997.20,15981.054054054054054054,12099,4196,193354773.00,2171,17.94,246.95,-63.80
3-December-2025,16249.40,16249.40,16008.05,16083.75,16097.229918404351767905,5515,1318,88776223.00,2143,38.86,241.35,-165.65
2-December-2025,16040.20,16259.05,16040.20,16240.90,16205.154068689266374898,13481,2256,218461682.00,8138,60.37,218.85,200.70
