year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,12,0,12,20,57,-25,-28,16
2015-03-01,0,0,14,0,8,28,56,-21,-27,19
2016-03-01,0,0,16,0,8,30,70,-32,-27,23
2017-03-01,0,0,15,0,6,25,65,-33,-36,24
2018-03-01,0,0,15,0,7,21,70,-42,-40,24
2019-03-01,0,0,13,0,10,20,59,-29,-30,19
2020-03-01,0,0,10,0,10,22,51,-19,-20,9
2021-03-01,0,0,8,0,7,22,73,-44,-47,5
2022-03-01,0,0,7,0,8,20,54,-26,-30,6
2023-03-01,0,0,9,0,10,18,50,-21,-27,15
2024-03-01,0,0,12,0,12,15,53,-26,-25,19
2025-03-01,0,0,12,0,16,17,59,-26,-23,22
