Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,988.00,988.00,968.95,972.20,974.857640650449921230,374510,9814,365093935.00,201990,53.93,19.05,-15.80
31-December-2025,994.25,994.25,978.35,986.65,983.564802426794345025,441735,13661,434474998.00,303203,68.64,15.90,-7.60
30-December-2025,995.30,997.35,987.40,989.30,991.836846174951984235,200455,5332,198818655.00,151575,75.62,9.95,-6.00
29-December-2025,1000.20,1005.80,990.00,997.60,995.940022962733748962,591393,7642,588991958.00,494060,83.54,15.80,-2.60
26-December-2025,1009.10,1009.25,997.45,999.80,1002.912224145543229170,285386,9179,286217108.00,173243,60.70,11.80,-9.30
24-December-2025,1015.90,1037.45,1006.00,1014.85,1025.882073525390867738,402310,11483,412722617.00,167203,41.56,31.45,-1.05
23-December-2025,1013.00,1018.00,1006.05,1011.40,1011.935412255637552161,194588,5413,196910488.00,143891,73.95,11.95,-1.60
22-December-2025,1013.45,1014.90,1005.00,1007.50,1009.920722371717546627,86216,2989,87071325.00,45787,53.11,9.90,-5.95
19-December-2025,1001.20,1014.10,1001.20,1008.00,1007.768228233608025797,66984,2646,67504347.00,27471,41.01,12.90,6.80
18-December-2025,1003.75,1009.20,995.00,1000.00,1002.509989294348241827,629574,9241,631154224.00,335359,53.27,14.20,-3.75
17-December-2025,998.55,1010.95,995.50,999.80,1003.664145589537352122,187486,5459,188172976.00,123451,65.85,15.45,1.25
16-December-2025,1006.50,1010.00,997.00,998.50,1007.073406055226902609,1009508,11599,1016648660.00,936415,92.76,13.00,-8.00
15-December-2025,1017.25,1017.25,1007.65,1012.75,1012.548628157415472325,404128,10645,409199252.00,313223,77.51,9.60,-4.50
12-December-2025,1004.95,1020.75,1003.50,1017.45,1016.942209751503853323,312198,2232,317487324.00,273603,87.64,17.25,12.50
11-December-2025,1010.20,1020.60,1000.50,1005.90,1007.220600867172816619,390003,13030,392819056.00,75488,19.36,20.10,-4.30
10-December-2025,1017.50,1021.35,1007.55,1010.40,1011.537687785760940561,91860,4089,92919852.00,28288,30.79,13.80,-7.10
9-December-2025,1022.10,1025.15,1014.00,1016.50,1019.345380205872079883,97342,4877,99225118.00,48229,49.55,11.15,-5.60
8-December-2025,1046.10,1048.45,1023.00,1026.25,1030.026002395884715664,212865,8173,219256485.00,112117,52.67,25.45,-19.85
5-December-2025,1029.95,1061.00,1027.85,1048.45,1049.172290953462359760,295030,8279,309537301.00,173083,58.67,33.15,18.50
4-December-2025,1015.75,1030.70,1015.75,1029.05,1025.756813703405372688,439482,7090,450801656.00,229033,52.11,14.95,13.30
3-December-2025,1024.20,1025.75,1013.65,1020.10,1018.298811369509043927,116100,3299,118224492.00,58069,50.02,12.10,-4.10
2-December-2025,1014.00,1036.00,1014.00,1025.25,1024.991143234214542005,96988,3478,99411841.00,35247,36.34,22.00,11.25
1-December-2025,1040.75,1044.85,1019.15,1020.50,1026.064069999471671428,246059,7782,252472299.00,163204,66.33,25.70,-20.25
28-November-2025,1035.20,1043.45,1030.80,1037.65,1036.656656434438465012,130633,3317,135421569.00,69728,53.38,12.65,2.45
27-November-2025,1016.00,1044.80,1009.70,1033.70,1034.936629538981501218,778754,26008,805961040.00,330360,42.42,35.10,17.70
26-November-2025,986.00,1012.80,981.45,1010.80,1003.981115474580999592,139797,4888,140353548.00,59232,42.37,31.35,24.80
25-November-2025,996.00,996.10,985.00,986.00,991.152902724398215673,93929,5384,93098001.00,47041,50.08,11.10,-10.00
24-November-2025,1001.20,1009.50,992.00,993.95,1000.334660173618462841,354225,8732,354343545.00,254674,71.90,17.50,-7.25
21-November-2025,1020.00,1027.60,1002.45,1004.95,1010.894470832840311702,118318,3674,119607012.00,75334,63.67,25.15,-15.05
20-November-2025,1007.65,1031.20,1007.65,1028.50,1026.427001985725177358,464314,10614,476584427.00,103881,22.37,23.55,20.85
