year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,4211,-1099,9270,12382
2015-03-01,-21281,-800,18694,-3387
2016-03-01,-34435,-837,37815,2542
2017-03-01,17282,-1146,-5893,10242
2018-03-01,17214,-842,57378,73750
2019-03-01,-62872,-1503,23131,-41244
2020-03-01,-16869,-1403,24394,6122
2021-03-01,42476,-1823,-7321,33332
2022-03-01,-11960,-2051,48124,34113
2023-03-01,20814,-2992,23941,41762
2024-03-01,19069,16600,-3983,31687
2025-03-01,127242,-3651,-102478,21113
