year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,,13508,,,8298,23445,689,13211,34,8768,9.11,19
2015-03-01,,16164,,,9546,27288,680,16079,33,10703,10.66,19
2016-03-01,,20055,,,11212,34070,738,19511,34,12821,12.66,19
2017-03-01,,23856,,,12905,38042,886,23393,35,15317,14.91,18
2018-03-01,,29532,,,16057,42381,967,28464,35,18561,17.83,18
2019-03-01,,34856,,,18947,53713,1221,34318,35,22446,20.5,18
2020-03-01,,45459,,,24879,62137,1277,38195,29,27296,24.85,5
2021-03-01,,52457,,,27333,59248,1385,42796,26,31857,28.87,11
2022-03-01,,56557,,,31759,58584,1681,50873,25,38151,34.31,23
2023-03-01,,63042,,,33912,77780,2345,61498,25,46149,41.22,23
2024-03-01,,174196,,,124346,154139,3092,76569,15,65446,42.16,23
2025-03-01,,186974,,,134548,183894,3805,96242,24,73440,46.26,24
2026-02-22,,211511,,,150600,187257,0,100043,,77430,48.54,
