year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,1155,75275,,128278,747762,5507,0,267609,474646,747762
2015-03-01,1160,83545,,144167,826079,5871,0,274311,545897,826079
2016-03-01,1163,92948,,153190,918756,8713,0,286044,623999,918756
2017-03-01,1165,103467,,180219,985725,9338,0,304373,672013,985725
2018-03-01,1286,109344,,198453,1124281,9465,0,372208,742608,1124281
2019-03-01,1289,112964,,232899,1238794,9660,0,398201,830933,1238794
2020-03-01,1295,121665,,239696,1377292,10409,0,443473,923411,1377292
2021-03-01,1383,156204,,312385,1573812,10809,0,536579,1026424,1573812
2022-03-01,1390,180663,,317616,1752637,10707,0,567098,1174833,1752637
2023-03-01,1397,213101,,344099,1958490,11070,0,639552,1307868,1958490
2024-03-01,1405,254739,,456911,2364063,15714,0,827163,1521186,2364063
2025-03-01,1425,312481,,467815,2642241,24272,0,886377,1731593,2642241
2025-09-01,1429,331807,,492145,2686485,16562,0,899798,1770125,2686485
