year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,1000,2356,0,57284,60640,304,4,56275,4058,60640
2015-03-01,1000,3056,0,70064,74121,292,7,69385,4437,74121
2016-03-01,1000,3733,0,78696,83429,301,146,77843,5139,83429
2017-03-01,1000,4552,0,96687,102240,507,31,95830,5871,102240
2018-03-01,1000,5528,0,115193,121720,511,70,114436,6703,121720
2019-03-01,1000,6576,0,139157,146734,563,32,139325,6814,146734
2020-03-01,1000,7743,0,156837,165580,568,13,158813,6186,165580
2021-03-01,1000,9400,0,216430,226830,564,1,218756,7509,226830
2022-03-01,1000,10622,0,261715,273337,919,3,264437,7978,273337
2023-03-01,1001,12017,0,301582,314599,520,1,304334,9743,314599
2024-03-01,1001,13907,0,383369,398277,551,6,385590,12130,398277
2025-03-01,1002,15983,0,440110,457095,580,10,447467,9038,457095
2025-09-01,1003,17294,0,471645,489941,632,0,480726,8583,489941
