year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,3,0,0,,,0,-2,27
2015-03-01,0,0,3,0,0,,,0,0,25
2016-03-01,0,0,5,0,0,,,0,-6,23
2017-03-01,0,0,4,0,0,,,0,3,23
2018-03-01,0,0,4,0,0,,,0,3,24
2019-03-01,0,0,3,0,0,,,0,4,22
2020-03-01,0,0,3,0,0,,,0,11,22
2021-03-01,0,0,1,0,0,,,0,1,17
2022-03-01,0,0,1,0,0,,,0,-3,15
2023-03-01,0,0,2,0,0,,,0,1,15
2024-03-01,0,0,2,0,0,,,0,4,15
2025-03-01,0,0,2,0,0,,,0,2,17
