year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-06-01,140,19410,1018,9412,29980,7444,531,662,21343,29980
2015-06-01,281,23943,648,10372,35245,8275,552,869,25548,35245
2016-03-01,282,27109,1090,10859,39341,9716,611,698,28315,39341
2017-03-01,285,32664,582,12231,45762,15235,448,1306,28773,45762
2018-03-01,278,36108,557,11046,47989,18753,320,2660,26256,47989
2019-03-01,271,41095,4195,12788,58349,22888,235,2305,32921,58349
2020-03-01,543,50724,7986,23566,82819,37490,400,7066,37863,82819
2021-03-01,543,59370,6864,19270,86047,37145,312,6862,41728,86047
2022-03-01,543,61371,6343,20664,88921,35077,129,6351,47364,88921
2023-03-01,543,64862,4794,23051,93250,34619,40,5495,53096,93250
2024-03-01,543,67720,5758,24985,99006,35063,108,7137,56698,99006
2025-03-01,543,69112,6276,28549,104480,36172,59,7564,60685,104480
2025-09-01,543,70706,6780,30544,108573,36628,106,6265,65574,108573
