year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-06-01,6457,-4842,-1308,307
2015-06-01,5539,-2088,-3140,311
2016-03-01,3823,-2208,-2237,-623
2017-03-01,8995,-3890,-4517,588
2018-03-01,8328,-2236,-5714,378
2019-03-01,8971,-3256,-1471,4244
2020-03-01,13359,-12332,-3168,-2141
2021-03-01,19618,-5665,-11192,2761
2022-03-01,16900,1597,-14508,3989
2023-03-01,18009,-3573,-15881,-1445
2024-03-01,22448,-6608,-15464,376
2025-03-01,22261,-4896,-18561,-1196
