year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-06-01,0,0,25,0,65,,,65,8,45
2015-06-01,0,0,23,0,65,,,65,25,40
2016-03-01,0,0,21,0,91,,,91,62,28
2017-03-01,0,0,22,0,64,,,64,38,34
2018-03-01,0,0,22,0,70,,,70,58,31
2019-03-01,0,0,23,0,71,,,71,44,31
2020-03-01,0,0,24,0,73,,,73,14,27
2021-03-01,0,0,27,0,85,,,85,48,26
2022-03-01,0,0,24,0,88,,,88,44,25
2023-03-01,0,0,22,0,92,,,92,43,28
2024-03-01,0,0,22,0,85,,,85,31,30
2025-03-01,0,0,22,0,81,,,81,17,32
