year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,795,26442,242,13369,40848,12921,3117,7284,17526,40848
2015-03-01,802,30934,269,13948,45952,15303,2700,6943,21006,45952
2016-03-01,805,41875,84,8888,51651,15107,2560,11748,22237,51651
2017-03-01,1215,45198,46,9440,55898,15893,3730,17581,18694,55898
2018-03-01,1220,51290,36,11695,64241,16524,5508,22053,20156,64241
2019-03-01,1226,57915,13,12585,71739,19374,4136,25043,23185,71739
2020-03-01,1229,64044,277,11760,77311,21713,3256,28663,23678,77311
2021-03-01,1231,59116,271,13143,73761,23298,4011,24871,21580,73761
2022-03-01,1232,61223,249,14491,77196,24232,3226,24841,24898,77196
2023-03-01,1243,67912,306,16370,85831,25851,3003,29415,27561,85831
2024-03-01,1248,73259,303,16944,91754,27820,2861,31114,29959,91754
2025-03-01,1251,68779,285,17688,88003,21955,1091,34720,30237,88003
2025-09-01,1253,69819,363,19368,90803,22400,1305,32548,34550,90803
