year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,37,0,25,228,58,195,7,50
2015-03-01,0,0,37,0,19,212,50,181,-6,47
2016-03-01,0,0,37,0,18,244,63,199,51,40
2017-03-01,0,0,36,0,21,185,60,145,45,36
2018-03-01,0,0,38,0,23,173,80,115,31,34
2019-03-01,0,0,38,0,30,165,74,122,32,34
2020-03-01,0,0,39,0,19,187,76,129,35,32
2021-03-01,0,0,35,0,19,189,78,129,36,28
2022-03-01,0,0,34,0,15,150,61,104,31,33
2023-03-01,0,0,36,0,15,148,59,105,20,39
2024-03-01,0,0,37,0,22,191,65,148,39,36
2025-03-01,0,0,34,0,23,178,55,146,45,37
