year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,196,48999,297,17337,66829,9544,3168,3434,50682,66829
2015-03-01,196,50439,358,22325,73318,11638,2766,1662,57252,73318
2016-03-01,197,70875,245,16974,88291,11774,1670,22822,52025,88291
2017-03-01,197,86017,289,15830,102333,11701,1541,41980,47111,102333
2018-03-01,191,84937,247,19751,105126,11973,1278,36008,55867,105126
2019-03-01,375,89071,62,24393,113901,12290,963,29330,71318,113901
2020-03-01,375,83751,8174,27827,120127,20928,906,26356,71937,120127
2021-03-01,370,86063,7795,35764,129992,21021,926,29373,78672,129992
2022-03-01,366,88773,7818,43967,140924,21298,1205,30485,87936,140924
2023-03-01,366,90058,7688,44747,142859,20515,1234,37163,83947,142859
2024-03-01,362,90127,8021,46962,145472,19604,1564,31762,92542,145472
2025-03-01,362,94394,9392,54501,158649,23053,1546,30964,103086,158649
2025-09-01,362,106053,10932,57872,175219,24149,2221,39062,109787,175219
