year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,14751,-9452,-5673,-374
2015-03-01,19369,-1807,-17168,394
2016-03-01,19109,-5010,-9666,4433
2017-03-01,25223,-16895,-11026,-2698
2018-03-01,25067,3104,-26885,1286
2019-03-01,28593,1645,-27897,2341
2020-03-01,32369,8968,-39915,1422
2021-03-01,38802,-7956,-32634,-1788
2022-03-01,39949,-738,-33581,5630
2023-03-01,41965,548,-47878,-5365
2024-03-01,44338,6091,-48536,1893
2025-03-01,48908,-2144,-47438,-674
