year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,81809,56657,25153,31,1637,39,1349,25402,24,19332,48.92,33
2015-03-01,94648,70167,24482,26,3720,104,1799,26298,24,20060,50.68,78
2016-03-01,108646,77969,30677,28,3084,33,1888,31840,24,24338,61.58,35
2017-03-01,117966,85655,32311,27,4221,32,1987,34513,24,26357,66.71,35
2018-03-01,123104,90588,32516,26,3642,52,2014,34092,24,25880,67.46,37
2019-03-01,146463,106957,39506,27,4311,198,2056,41563,24,31562,83.87,36
2020-03-01,156949,114840,42109,27,4592,924,3529,42248,23,32447,86.19,85
2021-03-01,164177,117631,46546,28,1916,637,4065,43760,26,32562,87.67,43
2022-03-01,191754,138697,53057,28,4018,784,4604,51687,26,38449,104.75,41
2023-03-01,225458,166199,59259,26,3449,779,5022,56907,26,42303,115.19,100
2024-03-01,240893,176597,64296,27,3464,778,4985,61997,26,46099,126.88,58
2025-03-01,255324,187917,67407,26,3962,796,5242,65331,25,48797,134.2,94
2026-02-22,260802,190700,70102,27,147,1189,5533,63527,,47963,131.88,
