year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,31,0,81,,,81,52,56
2015-03-01,0,0,26,0,79,,,79,33,50
2016-03-01,0,0,28,0,81,,,81,62,51
2017-03-01,0,0,27,0,70,,,70,62,44
2018-03-01,0,0,26,0,74,,,74,61,39
2019-03-01,0,0,27,0,68,,,68,70,47
2020-03-01,0,0,27,0,71,,,71,64,47
2021-03-01,0,0,28,0,67,,,67,59,49
2022-03-01,0,0,28,0,80,,,80,33,54
2023-03-01,0,0,26,0,81,,,81,30,59
2024-03-01,0,0,27,0,81,,,81,34,64
2025-03-01,0,0,26,0,84,,,84,34,65
