year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,234,8948,363,6394,15940,2594,266,1472,11607,15940
2015-03-01,480,11768,700,6899,19848,4033,568,2103,13145,19848
2016-03-01,436,14155,1091,6843,22525,4309,629,1297,16289,22525
2017-03-01,439,15998,1366,8254,26057,6460,373,2396,16828,26057
2018-03-01,442,18401,2397,9192,30431,7622,240,4841,17728,30431
2019-03-01,444,19841,1996,11166,33446,7061,276,7342,18766,33446
2020-03-01,436,21377,3670,11834,37318,8872,50,5848,22548,37318
2021-03-01,437,24428,2901,11836,39602,9018,118,10238,20228,39602
2022-03-01,439,26447,2618,14911,44416,14784,165,4884,24583,44416
2023-03-01,440,27484,2740,15162,45827,14932,120,3388,27388,45827
2024-03-01,441,26228,2537,13943,43149,13903,133,3238,25875,43149
2025-03-01,442,26919,2025,14880,44267,13982,21,3182,27082,44267
2025-09-01,443,27061,1954,16370,45828,14262,23,3082,28461,45828
