Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,1021.15,1027.60,1014.80,1016.50,1021.790825096691018478,130312,5835,133151606.00,79093,60.70,12.80,-4.65
29-December-2022,1011.50,1015.30,1007.35,1013.60,1011.698287894296082627,21494,1660,21745443.00,8440,39.27,7.95,2.10
28-December-2022,1008.00,1019.15,1002.40,1016.10,1013.128408461200389811,52333,3129,53020049.00,26614,50.86,16.75,8.10
27-December-2022,1009.15,1012.50,993.30,1010.10,1004.025780501437240498,100192,6583,100595351.00,46811,46.72,19.20,0.95
26-December-2022,995.90,1006.60,993.05,1001.40,1002.066422063064404760,73861,6501,74013628.00,33658,45.57,13.55,5.50
23-December-2022,1007.65,1015.00,993.00,995.85,1004.420370677238021185,156902,6387,157595565.00,127968,81.56,22.00,-11.80
22-December-2022,1030.55,1034.80,1012.05,1015.35,1018.052706858996531705,106969,4220,108900080.00,68708,64.23,22.75,-15.20
21-December-2022,1028.05,1031.00,1020.40,1025.90,1026.144845873384156446,93527,6463,95972249.00,55881,59.75,10.60,-2.15
20-December-2022,1025.00,1025.00,1004.00,1018.25,1012.842473889002662297,73245,3856,74185647.00,40359,55.10,21.00,-6.75
19-December-2022,1020.00,1028.00,1008.95,1026.35,1021.885076532484113822,68141,5318,69632271.00,29873,43.84,19.05,6.35
16-December-2022,1015.00,1033.70,1011.00,1020.85,1025.436057398441820527,103069,7696,105690669.00,68389,66.35,22.70,5.85
15-December-2022,1064.45,1064.45,1020.35,1022.70,1034.873739448249268607,119293,6461,123453193.00,59705,50.05,44.10,-41.75
14-December-2022,1047.20,1067.75,1047.20,1065.05,1062.185020823810249377,157512,7748,167306887.00,90309,57.33,20.55,17.85
13-December-2022,1044.95,1047.60,1030.40,1045.80,1039.259969768787205852,53587,2429,55690824.00,24158,45.08,17.20,0.85
12-December-2022,1035.95,1044.15,1022.40,1032.00,1034.289809778739641768,140468,9089,145284621.00,77139,54.92,21.75,-3.95
9-December-2022,1071.50,1074.80,1030.50,1035.50,1044.005856464635963544,144285,9466,150634385.00,101740,70.51,44.30,-36.00
8-December-2022,1080.00,1080.80,1070.50,1073.90,1075.282416156280594704,43921,3805,47227479.00,19615,44.66,10.30,-6.10
7-December-2022,1087.50,1087.50,1074.75,1079.45,1080.086958248917490962,125865,4474,135945145.00,97496,77.46,12.75,-8.05
6-December-2022,1085.55,1094.80,1080.60,1088.70,1087.547893064459988996,89063,2492,96860278.00,60188,67.58,14.20,3.15
5-December-2022,1115.05,1120.05,1096.50,1099.70,1105.130370495147720785,106857,4740,118090916.00,61774,57.81,23.55,-15.35
2-December-2022,1101.00,1116.00,1100.05,1114.55,1109.566406027774792826,158201,8220,175534515.00,83756,52.94,15.95,13.55
1-December-2022,1087.00,1107.80,1087.00,1101.80,1101.751197045211819152,224720,11618,247585529.00,131686,58.60,20.80,14.80
30-November-2022,1075.50,1080.90,1063.00,1077.30,1071.368695175438596491,102144,5106,109433884.00,47543,46.54,17.90,1.80
29-November-2022,1077.20,1085.40,1072.30,1075.25,1080.566211173549052991,113357,6215,122489744.00,51913,45.80,13.10,-1.95
28-November-2022,1075.00,1091.00,1071.20,1077.35,1088.005258164789471559,198168,6774,215607826.00,155841,78.64,19.80,2.35
25-November-2022,1069.15,1082.95,1061.00,1079.90,1072.963527478704544471,46254,2642,49628855.00,17080,36.93,21.95,10.75
24-November-2022,1047.10,1070.40,1045.70,1069.15,1057.363815281086998518,248464,9477,262716843.00,145001,58.36,24.70,22.05
23-November-2022,1058.00,1058.85,1041.85,1044.15,1050.815287175209318132,161835,6341,170058692.00,127683,78.90,17.00,-13.85
22-November-2022,1040.00,1052.70,1036.10,1051.10,1044.171825197114578090,23844,1326,24897233.00,9199,38.58,16.60,11.10
21-November-2022,1059.20,1059.20,1038.00,1042.30,1048.792055915444936924,146650,6225,153805355.00,107854,73.55,21.20,-16.90
18-November-2022,1059.00,1066.00,1045.85,1061.20,1054.269591631175299594,252174,9309,265859380.00,199017,78.92,20.15,2.20
