year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,18802,14630,4172,22,244,80,522,3815,20,3062,32.44,15
2015-03-01,22621,18428,4193,19,106,69,611,3618,27,2659,27.35,22
2016-03-01,26494,22234,4260,16,453,97,759,3857,22,3027,30.92,35
2017-03-01,29141,24956,4184,14,775,129,978,3853,26,2851,28.88,28
2018-03-01,30773,26063,4710,15,1417,162,1085,4879,22,3786,38.78,33
2019-03-01,34742,28471,6271,18,534,133,1129,5543,23,4289,43.7,29
2020-03-01,36868,31365,5503,15,1192,192,1446,5058,23,3897,41.76,32
2021-03-01,37855,31059,6796,18,788,174,1458,5953,27,4353,45.73,89
2022-03-01,44646,36626,8020,18,1115,163,1520,7452,24,5630,57.27,47
2023-03-01,53290,45527,7763,15,965,326,1957,6446,25,4857,49.6,91
2024-03-01,51996,47489,4506,9,927,392,1817,3224,26,2397,24.14,150
2025-03-01,52988,46024,6964,13,864,322,1853,5653,25,4253,43.43,94
2026-02-22,55123,46818,8305,15,138,334,1863,6247,,4591,47.21,
