year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,6790,-284,-3570,2936
2015-03-01,7840,-2537,-830,4474
2016-03-01,7887,-13761,-159,-6032
2017-03-01,9277,-11770,-2275,-4767
2018-03-01,8423,3595,-12998,-979
2019-03-01,11632,5065,-4937,11760
2020-03-01,10064,3593,-15100,-1442
2021-03-01,14755,685,-12884,2556
2022-03-01,11080,-22321,4659,-6583
2023-03-01,13060,-8169,-6088,-1197
2024-03-01,17622,1144,-18257,509
2025-03-01,16943,-8044,-6396,2502
