Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,264.50,267.80,263.80,267.30,266.813257955271855179,441154,7161,117705736.00,272698,61.81,4.00,2.80
31-December-2025,263.80,264.55,261.30,263.40,262.577444433527825229,315523,7751,82849223.00,226960,71.93,3.25,-0.40
30-December-2025,255.05,264.65,255.05,263.80,263.769092396382146443,257943,7541,68037391.00,190197,73.74,9.60,8.75
29-December-2025,265.20,267.25,263.65,264.25,265.551958350362024899,327878,8156,87068645.00,254434,77.60,3.60,-0.95
26-December-2025,265.25,268.85,265.25,266.30,267.037005652636691502,387076,7204,103363616.00,283301,73.19,3.60,1.05
24-December-2025,271.30,271.30,267.15,268.10,268.481347250410747076,165552,3632,44447624.00,95530,57.70,4.15,-3.20
23-December-2025,272.00,272.50,270.20,271.30,271.288542761192492325,194148,4295,52670128.00,106928,55.08,2.30,-0.70
22-December-2025,268.35,273.15,266.95,272.50,271.000162331513416699,554421,8434,150248181.00,309108,55.75,6.20,4.15
19-December-2025,266.15,267.10,263.20,264.35,264.818790870296398126,293153,4179,77632423.00,140314,47.86,3.90,-1.80
18-December-2025,261.45,264.95,261.00,263.75,263.350622106664975585,394225,4758,103819399.00,249809,63.37,3.95,2.30
17-December-2025,259.85,262.00,258.50,261.10,260.902147828173746100,183348,3505,47835887.00,117816,64.26,3.50,1.25
16-December-2025,261.00,261.55,258.75,259.15,259.923479640794049817,134853,3510,35051461.00,94322,69.94,2.80,-1.85
15-December-2025,260.20,262.60,258.65,261.70,260.608133104014167103,215711,4164,56216041.00,149103,69.12,3.95,1.50
12-December-2025,259.10,260.85,257.40,260.55,259.405830754756997503,183887,4388,47701360.00,110854,60.28,3.45,1.45
11-December-2025,258.85,259.95,257.85,259.05,259.004612073383212052,156112,3297,40433728.00,110898,71.04,2.10,0.20
10-December-2025,257.60,260.25,257.00,257.35,258.530807865954906615,145742,3590,37678797.00,96618,66.29,3.25,-0.25
9-December-2025,261.85,261.85,257.00,257.35,258.244100163819330681,213650,4423,55173852.00,144963,67.85,4.85,-4.50
8-December-2025,259.05,263.10,259.05,261.25,261.253183470286765786,789076,14393,206148617.00,524210,66.43,4.05,2.20
5-December-2025,257.95,261.00,257.75,260.00,259.556497704244221589,768810,12621,199549631.00,540202,70.26,3.25,2.05
4-December-2025,256.75,258.90,255.75,256.95,257.219521153626534397,323987,5382,83335781.00,147511,45.53,3.15,0.20
3-December-2025,250.25,257.10,250.20,254.60,255.046753072657231151,1417340,19614,361487965.00,892490,62.97,6.90,4.35
2-December-2025,250.20,251.35,248.95,250.25,249.985796640312619092,165313,5840,41325902.00,109540,66.26,2.40,0.05
1-December-2025,250.80,250.80,248.90,250.20,249.951408383462236226,209460,6142,52354822.00,151532,72.34,1.90,-0.60
28-November-2025,251.00,252.15,248.60,249.45,250.023329540550084356,254870,3478,63723446.00,160868,63.12,3.55,-1.55
27-November-2025,251.00,251.80,247.70,249.40,249.686745408258033499,183046,3569,45704160.00,90574,49.48,4.10,-1.60
26-November-2025,244.90,250.50,244.90,250.15,248.972111209148630646,578010,10200,143908370.00,431019,74.57,5.60,5.25
25-November-2025,247.40,248.00,244.40,245.80,245.897519331848252562,297178,6985,73075333.00,146376,49.26,3.60,-1.60
24-November-2025,244.65,249.40,244.65,247.30,247.890169113547667719,737197,11051,182743889.00,480381,65.16,4.75,2.65
21-November-2025,245.50,247.30,243.65,244.55,245.218009525020292009,102257,2574,25075258.00,43911,42.94,3.65,-0.95
20-November-2025,247.00,247.80,245.70,246.20,246.379246607230958452,143909,2962,35456191.00,78042,54.23,2.10,-0.80
19-November-2025,240.90,246.85,240.65,246.05,245.107814909406322282,332032,5627,81383638.00,149968,45.17,6.20,5.15
18-November-2025,243.85,244.00,240.50,240.80,241.840246413530712718,118013,2899,28540293.00,59221,50.18,3.50,-3.05
17-November-2025,240.55,244.75,240.55,244.00,243.625434323548959726,237726,8069,57916100.00,159594,67.13,4.20,3.45
14-November-2025,242.05,245.90,242.05,244.55,243.454175279108420437,306243,8112,74556137.00,197880,64.62,3.85,2.50
13-November-2025,245.70,246.30,244.00,245.35,245.314040244640316593,489208,10076,120009591.00,295253,60.35,2.30,-0.35
12-November-2025,242.60,246.20,242.40,245.25,244.889598943701644134,1073939,9895,262996491.00,741424,69.04,3.80,2.65
11-November-2025,241.70,242.05,238.75,241.70,240.721998698227528718,397919,6809,95787857.00,265859,66.81,3.30,0.00
10-November-2025,237.15,241.50,237.10,239.90,239.697613421154071764,358002,7820,85812225.00,234840,65.60,4.40,2.75
7-November-2025,238.90,239.35,236.05,236.50,236.833356121213738090,299867,4855,71018508.00,191695,63.93,3.30,-2.40
6-November-2025,239.35,240.60,238.30,240.00,239.469016139730267521,339225,8685,81233877.00,244023,71.94,2.30,0.65
4-November-2025,240.40,240.95,237.50,238.05,238.744396683181705710,173781,4329,41489240.00,104622,60.20,3.45,-2.35
3-November-2025,241.00,241.20,239.45,240.40,240.406420554010915456,155376,4084,37353388.00,96416,62.05,1.75,-0.60
31-October-2025,242.65,243.15,240.45,240.65,241.602744704850231858,159580,3435,38554966.00,80136,50.22,2.70,-2.00
30-October-2025,242.45,244.80,240.45,241.85,242.021299842034020543,371599,8971,89934873.00,203736,54.83,4.35,-0.60
