year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,22,0,72,28,639,-539,15,29
2015-03-01,0,0,22,0,71,56,671,-544,15,27
2016-03-01,0,0,21,0,71,66,597,-461,-14,23
2017-03-01,0,0,20,0,62,,,62,-23,19
2018-03-01,0,0,19,0,68,,,68,3,17
2019-03-01,0,0,20,0,62,,,62,-13,19
2020-03-01,0,0,20,0,62,,,62,-18,20
2021-03-01,0,0,24,0,56,,,56,-31,22
2022-03-01,0,0,21,0,53,,,53,-15,21
2023-03-01,0,0,19,0,51,,,51,-3,18
2024-03-01,0,0,19,0,47,,,47,-4,17
2025-03-01,0,0,20,0,48,,,48,-17,20
