Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,181.80,182.25,180.25,181.85,181.307825534172789421,1170361,10053,212195608.00,592167,50.60,2.00,0.05
31-December-2025,180.15,181.35,178.50,180.05,180.048399333537142240,2587391,23270,465855608.00,1488552,57.53,2.85,-0.10
30-December-2025,172.05,176.35,170.80,175.75,174.323178978408072305,1328691,10419,231621639.00,676765,50.93,5.55,3.70
29-December-2025,169.20,174.15,169.20,172.25,172.669186749886298121,2431798,20355,419896583.00,1245701,51.23,4.95,3.05
26-December-2025,170.00,170.00,167.85,169.15,168.838019375172280949,602214,6960,101676619.00,283108,47.01,2.15,-0.85
24-December-2025,171.05,171.65,169.60,170.00,170.603505876689273040,1067693,11769,182152169.00,651959,61.06,2.05,-1.05
23-December-2025,169.20,171.35,169.20,170.90,170.310759089749285287,1649963,10096,281006451.00,1358564,82.34,2.15,1.70
22-December-2025,168.85,171.50,168.85,169.15,169.924826166164636426,994628,9425,169011990.00,603021,60.63,2.65,0.30
19-December-2025,169.15,169.60,167.80,168.65,168.324535539571904782,1293544,13145,217735193.00,915359,70.76,1.80,-0.50
18-December-2025,170.25,170.50,167.55,168.15,169.056816886908480783,508986,7165,86047553.00,154043,30.26,2.95,-2.10
17-December-2025,169.80,171.35,169.70,170.30,170.156686513505604691,837245,6791,142462835.00,602100,71.91,1.65,0.50
16-December-2025,172.10,172.65,169.25,169.80,170.219436008063589993,566001,6111,96344371.00,351481,62.10,3.40,-2.30
15-December-2025,171.30,173.15,170.55,172.80,172.437126688573278989,4522531,16583,779852251.00,3874307,85.67,2.60,1.50
12-December-2025,167.45,172.25,167.45,171.90,170.750853168058653851,2022169,12562,345287082.00,1014129,50.15,4.80,4.45
11-December-2025,163.95,166.60,163.15,166.35,164.836423597768760107,1420914,9167,234218382.00,773338,54.43,3.45,2.40
10-December-2025,161.10,163.70,160.85,162.20,162.218186226397457468,684672,6520,111066250.00,284653,41.58,2.85,1.10
9-December-2025,163.65,163.65,160.00,160.60,161.448779303831197268,947615,11136,152991285.00,549443,57.98,3.65,-3.05
8-December-2025,167.50,168.00,163.00,163.45,165.349054852609630429,554887,7544,91750041.00,239507,43.16,5.00,-4.05
5-December-2025,166.80,167.65,165.00,167.10,166.511986603600356564,674211,5401,112264213.00,343858,51.00,2.65,0.30
4-December-2025,167.25,167.95,166.25,166.75,166.659629162995243430,1003244,7920,167200273.00,561686,55.99,1.70,-0.50
3-December-2025,167.75,167.85,165.00,166.90,166.284140848619678945,785723,8358,130653274.00,372290,47.38,2.85,-0.85
2-December-2025,168.15,168.90,167.05,167.75,167.827140040285610107,564966,10749,94816628.00,302322,53.51,1.85,-0.40
1-December-2025,168.80,169.70,167.80,168.65,168.329878396174429573,856552,8178,144183294.00,568530,66.37,1.90,-0.15
28-November-2025,168.30,168.85,167.20,167.85,168.019512905253226838,714399,7329,120032972.00,424211,59.38,1.65,-0.45
27-November-2025,170.30,171.10,167.20,168.10,168.869574281306130778,1136854,24743,191980051.00,491763,43.26,3.90,-2.20
26-November-2025,166.65,170.00,166.65,169.75,169.043176446109708602,1840749,13211,311166058.00,1308494,71.08,3.35,3.10
25-November-2025,165.70,167.30,165.15,166.35,166.282426920631547843,602393,6811,100167370.00,265479,44.07,2.15,0.65
24-November-2025,168.00,168.40,165.15,165.30,166.721702871800734757,1242043,12184,207075524.00,816990,65.78,3.25,-2.70
21-November-2025,172.00,172.00,167.70,168.00,169.425904988594664286,756225,7155,128124105.00,408798,54.06,4.30,-4.00
20-November-2025,173.75,174.00,172.20,172.45,172.727887719570069415,2994716,11917,517270969.00,2069171,69.09,1.80,-1.30
19-November-2025,172.95,173.90,172.05,173.10,172.678023263047797534,2057512,7968,355287105.00,1506859,73.24,1.85,0.15
18-November-2025,172.80,173.20,170.55,172.40,172.001265459147124171,824997,6301,141900528.00,380492,46.12,2.65,-0.40
17-November-2025,175.55,175.55,172.60,173.05,173.391752857994625690,734606,8219,127374622.00,352493,47.98,2.95,-2.50
14-November-2025,177.25,177.90,172.25,174.15,174.164415728175919419,1273765,10689,221844537.00,564505,44.32,5.65,-3.10
13-November-2025,184.20,184.20,175.05,176.60,179.744483364128875722,4141292,28915,744374391.00,1507273,36.40,9.15,-7.60
12-November-2025,181.15,182.30,178.00,178.65,179.488686492885270456,1448755,9570,260035132.00,875331,60.42,4.30,-2.50
11-November-2025,183.00,183.00,179.05,181.00,180.585484168901135490,849941,7177,153487007.00,443217,52.15,3.95,-2.00
10-November-2025,182.05,182.40,180.10,181.40,181.100310919078916578,1132449,11390,205086866.00,692769,61.17,2.30,-0.65
7-November-2025,177.25,182.20,175.05,181.45,179.307650704554756475,957768,7046,171735130.00,409745,42.78,7.15,4.20
6-November-2025,179.35,180.70,176.50,177.25,177.789561696691835895,914344,8805,162560819.00,285966,31.28,4.20,-2.10
4-November-2025,182.95,183.10,178.90,179.25,180.834837877306780539,758037,7687,137079498.00,401962,53.03,4.20,-3.70
3-November-2025,182.25,184.10,181.80,182.65,182.829498204530254377,1474266,13230,269539313.00,729299,49.47,2.30,0.40
31-October-2025,183.75,184.25,182.20,182.95,183.138697622273088242,642210,6270,117613503.00,209850,32.68,2.05,-0.80
30-October-2025,185.10,185.10,182.55,184.35,183.723705955409547084,1198104,15600,220120107.00,411096,34.31,2.55,-0.75
29-October-2025,183.00,187.00,182.00,185.15,185.183049186383562573,3979455,34172,736927611.00,1885145,47.37,5.00,2.15
28-October-2025,176.90,182.10,176.90,181.85,180.766858007671041464,4099313,26033,741019931.00,2610452,63.68,5.20,4.95
27-October-2025,175.40,177.85,175.40,176.60,176.713687129046183262,2114987,18437,373747151.00,1507790,71.29,2.45,1.20
24-October-2025,174.45,177.30,173.70,174.50,174.736081295429560766,1791097,12188,312969271.00,976740,54.53,3.60,0.05
23-October-2025,173.20,176.00,173.20,174.10,174.540646174794674101,4453408,34158,777300710.00,3508149,78.77,2.80,0.90
21-October-2025,171.85,173.25,171.85,172.80,172.586515966147939184,323998,5934,55917686.00,185387,57.22,1.40,0.95
20-October-2025,173.05,173.35,170.80,171.90,171.856478471336596509,1036618,17186,178149519.00,615884,59.41,2.55,-1.15
17-October-2025,173.40,174.25,171.00,172.25,172.578274681414008111,1861036,19983,321174382.00,1305738,70.16,3.25,-1.15
16-October-2025,172.75,174.40,172.20,174.05,173.500109188185838292,732680,13228,127120060.00,243856,33.28,2.20,1.30
15-October-2025,170.80,173.95,170.10,173.15,172.809046475460998910,567138,11708,98006577.00,258171,45.52,3.85,2.35
14-October-2025,174.20,176.20,169.25,170.40,172.351079845712052471,882765,15234,152145501.00,385477,43.67,6.95,-3.80
13-October-2025,172.40,173.85,171.05,172.95,172.254861082189465225,816382,9387,140625768.00,377637,46.26,2.80,0.55
10-October-2025,176.20,176.20,172.75,173.80,173.484706305682304532,1628547,9907,282527998.00,1022006,62.76,3.45,-2.40
9-October-2025,172.55,177.85,172.55,176.40,176.028725140571638136,7972981,31599,1403473681.00,5161884,64.74,5.30,3.85
8-October-2025,171.80,173.65,170.10,171.85,171.876695501277325608,2483705,12978,426891008.00,1735785,69.89,3.55,0.05
