year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,9,0,38,114,89,64,4,5
2015-03-01,0,0,8,0,32,104,87,49,-6,6
2016-03-01,0,0,8,0,29,103,92,40,4,4
2017-03-01,0,0,12,0,30,120,115,36,-17,8
2018-03-01,0,0,12,0,32,115,108,38,17,10
2019-03-01,0,0,12,0,32,103,96,39,18,11
2020-03-01,0,0,12,0,29,120,98,51,4,9
2021-03-01,0,0,13,0,36,146,135,47,3,9
2022-03-01,0,0,15,0,39,138,128,49,-3,17
2023-03-01,0,0,10,0,27,111,93,45,13,11
2024-03-01,0,0,11,0,28,111,90,49,12,11
2025-03-01,0,0,13,0,30,123,102,51,23,15
