year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,2594,-5618,3300,276
2015-03-01,7876,-7372,-169,334
2016-03-01,6897,-3857,-3151,-111
2017-03-01,7888,-5094,-2710,84
2018-03-01,12379,-4529,-8185,-335
2019-03-01,14633,-11387,1753,4999
2020-03-01,12785,-19589,5189,-1615
2021-03-01,18831,-9410,-1444,7977
2022-03-01,26270,-14748,-14657,-3135
2023-03-01,23323,-10730,-5977,6616
2024-03-01,12078,-14467,-5005,-7394
2025-03-01,20899,-17012,-262,3625
