year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2015-03-01,7383,5510,1873,25,821,167,414,2113,37,1322,5.13,34
2016-03-01,6817,5858,959,14,659,3,426,1189,34,787,3.05,65
2017-03-01,7543,6464,1079,14,368,3,480,964,31,668,3.45,81
2018-03-01,9509,8113,1397,15,1124,2,480,2039,34,1342,6.94,82
2019-03-01,11499,8607,2893,25,327,2,476,2741,37,1734,9.29,62
2020-03-01,8472,7985,487,6,273,6,530,224,39,136,0.73,205
2021-03-01,8956,7174,1782,20,147,7,606,1316,1,1299,7.07,49
2022-03-01,14181,9665,4516,32,298,23,837,3954,25,2951,16.07,40
2023-03-01,14257,11917,2340,16,234,13,716,1845,22,1435,7.81,58
2024-03-01,13149,10348,2801,21,678,17,750,2712,27,1988,10.83,46
2025-03-01,16788,9280,7508,45,357,59,728,7078,26,5268,28.68,37
2026-02-22,18098,9782,8317,46,595,108,622,8181,,6142,33.45,
