Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,3450.00,3450.00,3385.75,3412.60,3415.828900709219858156,4512,950,15412220.00,1348,29.88,64.25,-37.40
29-December-2022,3444.15,3490.50,3390.00,3411.80,3428.037060222862150995,7987,1480,27379732.00,3024,37.86,100.50,-32.35
28-December-2022,3484.95,3500.55,3437.20,3444.15,3460.786021150033046926,6052,910,20944677.00,2153,35.58,63.35,-40.80
27-December-2022,3430.00,3498.80,3429.00,3475.60,3462.029989711934156378,19440,3168,67301863.00,8434,43.38,69.80,45.60
26-December-2022,3502.25,3549.60,3421.00,3431.50,3470.076788830715532286,16617,2847,57662266.00,5948,35.79,128.60,-70.75
23-December-2022,3474.10,3640.00,3474.10,3496.95,3564.710476254046657544,89889,13632,320428260.00,31616,35.17,165.90,22.85
22-December-2022,3525.20,3530.25,3469.25,3496.90,3495.079151577858251422,11598,2142,40535928.00,4013,34.60,61.00,-28.30
21-December-2022,3350.80,3531.65,3350.00,3518.70,3474.063290232458182599,27919,4641,96992373.00,9524,34.11,181.65,167.90
20-December-2022,3345.00,3354.90,3309.10,3350.80,3330.860317460317460317,7875,2159,26230525.00,4556,57.85,45.80,5.80
19-December-2022,3340.00,3350.65,3303.30,3347.15,3329.536384976525821596,3408,754,11347060.00,1401,41.11,47.35,7.15
16-December-2022,3350.05,3378.30,3314.00,3323.90,3342.849966055668703326,4419,1001,14772054.00,1693,38.31,64.30,-26.15
15-December-2022,3392.00,3413.00,3352.00,3363.25,3377.476984656437625083,7495,1251,25314190.00,2581,34.44,61.00,-28.75
14-December-2022,3370.00,3399.90,3350.80,3391.65,3375.482147444130490624,3893,689,13140752.00,2072,53.22,49.10,21.65
13-December-2022,3348.00,3364.00,3331.85,3354.85,3350.834268977300463753,4097,741,13728368.00,2571,62.75,32.15,6.85
12-December-2022,3277.00,3349.00,3254.40,3338.00,3321.144576410386000379,31658,5608,105140795.00,18524,58.51,94.60,61.00
9-December-2022,3293.05,3307.00,3265.00,3276.75,3284.318174640770566871,18999,4781,62398761.00,10570,55.63,42.00,-16.30
8-December-2022,3335.05,3350.35,3285.00,3288.75,3308.368958109559613319,7448,1508,24640732.00,4500,60.42,65.35,-46.30
7-December-2022,3340.05,3360.65,3329.00,3337.00,3347.240242669362992922,9890,2768,33104206.00,5543,56.05,31.65,-3.05
6-December-2022,3367.95,3367.95,3349.90,3356.10,3356.181596091205211726,4912,746,16485564.00,1688,34.36,18.05,-11.85
5-December-2022,3383.35,3395.25,3348.00,3368.30,3361.493175431553592934,4982,1120,16746959.00,2053,41.21,47.25,-15.05
2-December-2022,3401.95,3401.95,3332.45,3380.40,3359.150463461953007113,27834,5658,93498594.00,10177,36.56,69.50,-21.55
1-December-2022,3424.95,3424.95,3390.00,3420.25,3417.198834668608885651,13730,1783,46918140.00,10202,74.30,34.95,-4.70
30-November-2022,3384.90,3419.95,3348.00,3403.15,3385.889674623937213865,24464,4092,82832405.00,17987,73.52,71.95,18.25
29-November-2022,3377.00,3391.00,3365.65,3373.85,3380.151000465332712889,4298,937,14527889.00,1969,45.81,25.35,-3.15
28-November-2022,3342.70,3384.35,3340.00,3375.40,3369.033832067887449754,8956,1297,30173067.00,3391,37.86,44.35,32.70
25-November-2022,3282.00,3345.00,3276.15,3341.60,3317.571049840933191940,11316,1394,37541634.00,4352,38.46,68.85,59.60
24-November-2022,3300.05,3316.50,3293.95,3304.85,3302.456050018389113644,5438,841,17958756.00,3670,67.49,22.55,4.80
23-November-2022,3320.00,3320.30,3295.15,3299.40,3305.403141361256544502,4011,753,13257972.00,1639,40.86,25.15,-20.60
