year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,289,9878,59,5081,15308,2660,144,8448,4056,15308
2015-03-01,289,10806,112,4758,15966,2448,255,8985,4277,15966
2016-03-01,289,13731,118,3102,17240,2026,52,11067,4095,17240
2017-03-01,289,17567,120,3661,21638,2002,42,15477,4117,21638
2018-03-01,289,20136,121,4595,25141,1878,56,18895,4312,25141
2019-03-01,289,22944,125,5476,28834,1764,48,20603,6420,28834
2020-03-01,289,21373,126,4722,26510,1699,60,19914,4837,26510
2021-03-01,289,26984,121,6207,33602,1668,16,24687,7232,33602
2022-03-01,289,29570,123,5129,35111,1836,77,26634,6564,35111
2023-03-01,283,29079,124,5651,35136,2842,85,26183,6026,35136
2024-03-01,279,28683,1912,8470,39344,3217,35,28087,8005,39344
2025-03-01,279,34909,9364,9557,54110,3677,61,28914,21459,54110
2025-09-01,279,33891,19693,11593,65456,3661,58,28973,32764,65456
