Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-February-2026,9700.00,9848.00,9180.75,9486.00,9514.188965773463985510,43066,12061,409738062.00,18561,43.10,667.25,-214.00
30-January-2026,9499.90,9613.40,9390.25,9592.90,9528.559726096880547806,3943,1656,37571111.00,1686,42.76,223.15,93.00
29-January-2026,9479.00,9530.00,9379.50,9507.75,9467.357651076747936628,10541,3720,99795417.00,3997,37.92,150.50,28.75
28-January-2026,9495.25,9538.00,9250.25,9435.25,9343.826506024096385542,17845,5771,166740584.00,10626,59.55,287.75,-60.00
27-January-2026,9439.95,9511.55,9328.25,9495.05,9407.130499906384572177,5341,2750,50243484.00,2150,40.25,183.30,55.10
23-January-2026,9399.95,9545.00,9332.85,9413.30,9429.711624616835651968,8482,1897,79982814.00,5840,68.85,212.15,13.35
22-January-2026,9181.75,9388.70,9181.75,9365.25,9275.404915155061439438,6836,2868,63406668.00,3397,49.69,206.95,183.50
21-January-2026,9112.85,9250.00,9074.65,9181.55,9164.889859821591115965,5493,3223,50342740.00,1658,30.18,175.35,68.70
20-January-2026,9440.00,9450.00,9155.00,9176.50,9277.839052682455292411,6207,1794,57587547.00,4253,68.52,295.00,-263.50
19-January-2026,9468.05,9486.00,9395.85,9427.75,9441.197567487392465143,3371,1079,31826277.00,1795,53.25,90.15,-40.30
16-January-2026,9585.00,9609.90,9389.15,9480.30,9457.222026887280248190,19340,2955,182902674.00,15246,78.83,220.75,-104.70
14-January-2026,9580.00,9608.70,9495.05,9576.60,9536.943157927044488436,65163,4623,621455827.00,54890,84.23,113.65,-3.40
13-January-2026,9515.00,9574.00,9457.60,9556.10,9512.579025598678777869,6055,2797,57598666.00,2289,37.80,116.40,41.10
12-January-2026,9558.00,9580.00,9360.10,9504.35,9495.473111277420859778,102887,3694,976960742.00,93877,91.24,219.90,-53.65
9-January-2026,9711.45,9832.30,9537.75,9557.40,9669.058585698430315522,12614,4483,121965505.00,7813,61.94,294.55,-154.05
8-January-2026,9755.55,9883.30,9721.60,9760.90,9799.176773296244784422,21570,7113,211368243.00,10393,48.18,161.70,5.35
7-January-2026,9635.20,9808.75,9610.40,9793.00,9704.666803334700013666,7317,3344,71009047.00,2891,39.51,198.35,157.80
6-January-2026,9550.05,9782.75,9533.65,9659.35,9702.422385106574332224,22238,5530,215762469.00,11745,52.82,249.10,109.30
5-January-2026,9510.50,9677.95,9463.95,9498.95,9532.681439619274241522,10086,2897,96146625.00,6008,59.57,214.00,-11.55
2-January-2026,9579.95,9633.30,9311.25,9500.85,9508.684934674528847265,34596,7154,328962464.00,18978,54.86,322.05,-79.10
1-January-2026,9351.15,9583.95,9316.95,9560.60,9478.612377025462962962,27648,4400,262064675.00,18642,67.43,267.00,209.45
31-December-2025,9325.00,9396.55,9297.00,9343.20,9349.674086127738710989,17207,5255,160879842.00,8429,48.99,99.55,18.20
30-December-2025,9070.80,9299.50,9025.20,9287.75,9214.397475369458128078,9744,2529,89785089.00,5000,51.31,274.30,216.95
29-December-2025,9030.00,9125.00,9030.00,9083.95,9093.266650865133917990,4219,1677,38364492.00,2489,59.00,95.00,53.95
26-December-2025,9165.85,9179.15,9057.60,9066.45,9121.235927727588603196,2878,847,26250917.00,1455,50.56,121.55,-99.40
24-December-2025,9099.00,9193.05,9071.00,9165.70,9157.622434124326685107,13738,3686,125807417.00,9461,68.87,122.05,66.70
23-December-2025,9190.00,9190.00,9077.00,9095.30,9123.433050847457627118,4720,1992,43062604.00,2541,53.83,113.00,-94.70
22-December-2025,9002.00,9182.40,8994.75,9165.30,9128.322836482388616748,17148,3019,156532480.00,11524,67.20,187.65,163.30
19-December-2025,8812.35,9014.00,8812.35,9002.65,8964.327374301675977653,3580,1066,32092292.00,1849,51.65,201.65,190.30
18-December-2025,8882.05,8900.05,8735.00,8828.95,8798.972917370344213467,32567,3831,286556151.00,26314,80.80,165.05,-53.10
17-December-2025,8990.60,9006.80,8855.30,8883.65,8930.334630350194552529,5911,994,52787208.00,3404,57.59,151.50,-106.95
16-December-2025,8997.55,9025.50,8894.55,8990.65,8966.622052474261042842,6022,815,53996998.00,3498,58.09,130.95,-6.90
15-December-2025,9098.90,9098.90,8885.55,8933.60,8914.964813150121998202,15574,2031,138841662.00,9811,63.00,213.35,-165.30
12-December-2025,9055.55,9082.95,8965.80,9014.25,9046.783711397829428478,42938,1622,388450799.00,39240,91.39,117.15,-41.30
11-December-2025,8988.75,9086.05,8956.25,9051.80,9049.990423749102226478,4177,2162,37801810.00,1298,31.07,129.80,63.05
10-December-2025,8929.35,9000.00,8907.05,8988.55,8949.885839802611783113,16617,7135,148720253.00,10353,62.30,92.95,59.20
9-December-2025,9000.00,9010.35,8882.50,8956.35,8976.064183381088825214,8725,2481,78316160.00,5711,65.46,127.85,-43.65
8-December-2025,9109.00,9120.00,8960.00,9021.85,9027.584909539473684210,4864,957,43910173.00,2796,57.48,160.00,-87.15
5-December-2025,9069.95,9130.00,9046.00,9107.85,9095.354263143557613729,22026,1997,200334273.00,14971,67.97,84.00,37.90
4-December-2025,9023.25,9100.00,8985.70,9087.50,9052.423409018228333866,9381,3399,84920784.00,5257,56.04,114.30,64.25
3-December-2025,9122.95,9122.95,8952.30,9004.35,9040.916791525837137182,28699,4097,259465271.00,5997,20.90,170.65,-118.60
2-December-2025,9092.50,9137.15,8990.00,9085.30,9061.405314118441792389,8882,2257,80483402.00,3954,44.52,147.15,-7.20
1-December-2025,9095.15,9189.15,9057.30,9092.90,9113.179914868342902395,20204,3122,184122687.00,14555,72.04,131.85,-2.25
28-November-2025,9020.35,9090.00,8920.05,9075.15,8997.441831238779174147,5570,1565,50115751.00,2771,49.75,169.95,54.80
27-November-2025,9199.00,9250.00,8994.40,9021.35,9045.520409348798481885,103286,10038,934275621.00,38398,37.18,255.60,-177.65
26-November-2025,9050.00,9180.00,9033.90,9164.30,9130.546886967939599518,9139,2605,83444068.00,3946,43.18,146.10,114.30
25-November-2025,9020.00,9142.00,9005.45,9046.10,9087.336126531894836074,9547,1698,86756798.00,3854,40.37,136.55,26.10
24-November-2025,8989.40,9049.00,8873.70,9005.45,9004.756293035331301501,8859,2114,79773136.00,5021,56.68,175.30,16.05
21-November-2025,8979.00,8979.00,8863.80,8884.55,8902.293751191914055050,15731,2099,140041983.00,12604,80.12,115.20,-94.45
20-November-2025,8974.05,9001.00,8890.00,8983.75,8968.543959622272875284,6142,2094,55084797.00,2648,43.11,111.00,9.70
19-November-2025,8977.55,8977.55,8867.00,8880.20,8926.083084218121843108,9701,1330,86591932.00,6893,71.05,110.55,-97.35
18-November-2025,8957.25,8998.15,8899.00,8914.75,8963.042023910155778287,8281,1942,74222951.00,4314,52.10,99.15,-42.50
17-November-2025,8838.85,9025.00,8838.85,8957.10,8975.790022410601188736,10263,2234,92118533.00,5463,53.23,186.15,118.25
14-November-2025,8867.70,8867.70,8783.50,8837.05,8810.012191711161962878,78660,1874,692995559.00,75475,95.95,84.20,-30.65
13-November-2025,8923.00,8923.00,8837.95,8867.65,8870.205769664187514086,13311,1962,118071309.00,9380,70.47,85.05,-55.35
12-November-2025,8925.15,8935.95,8797.70,8867.05,8859.157626358847921102,17846,2806,158100527.00,14438,80.90,138.25,-58.10
11-November-2025,8832.90,8945.00,8725.00,8901.55,8860.252932295900592265,8611,1823,76295638.00,5034,58.46,220.00,68.65
10-November-2025,8734.75,8838.65,8688.40,8770.80,8758.725778295024730869,20622,7011,180622443.00,8942,43.36,150.25,36.05
7-November-2025,8705.05,8748.00,8606.00,8724.20,8671.544651077149696188,5431,1768,47095159.00,2283,42.04,142.00,19.15
6-November-2025,8767.10,8819.00,8701.00,8716.30,8747.488402741170268845,3794,790,33187971.00,1901,50.11,118.00,-50.80
4-November-2025,8890.80,8900.05,8715.00,8747.15,8753.333349430171914236,20708,4926,181264027.00,15338,74.07,185.05,-143.65
3-November-2025,8904.25,8956.15,8860.00,8924.50,8897.084600760456273764,5260,1537,46798665.00,2408,45.78,96.15,20.25
31-October-2025,8902.65,9050.00,8809.00,8893.90,8938.819313205807789813,8678,2756,77571074.00,3204,36.92,241.00,-8.75
30-October-2025,9035.00,9062.45,8907.50,8923.00,8965.614342806394316163,4504,1485,40381127.00,1854,41.16,154.95,-112.00
29-October-2025,9056.30,9079.00,8965.00,9032.75,9030.085125719478945774,3301,901,29808311.00,1593,48.26,114.00,-23.55
28-October-2025,9087.00,9128.50,9022.60,9055.30,9063.090087004178940878,14597,2885,132293926.00,10590,72.55,105.90,-31.70
27-October-2025,9100.00,9121.95,9055.45,9096.40,9094.540215573974600690,28111,3804,255656620.00,23164,82.40,66.50,-3.60
24-October-2025,9050.25,9101.45,9011.25,9083.00,9051.110939112487100103,15504,1420,140328424.00,11863,76.52,90.20,32.75
23-October-2025,9158.30,9158.30,9020.00,9040.25,9079.861551292743953294,16786,2226,152414556.00,13342,79.48,138.30,-118.05
21-October-2025,9120.10,9166.40,9076.00,9109.70,9128.204550956184943113,4131,975,37708613.00,2637,63.83,90.40,-10.40
20-October-2025,9161.45,9223.75,9102.90,9134.70,9151.627181125583681494,24414,3539,223427826.00,16309,66.80,120.85,-26.75
17-October-2025,9159.65,9193.95,9091.05,9150.50,9149.259183363691560412,13176,1960,120550639.00,9465,71.84,102.90,-9.15
16-October-2025,9008.10,9180.00,9008.10,9149.40,9145.274792526310909175,21569,4970,197254432.00,12417,57.57,171.90,141.30
15-October-2025,9105.00,9180.70,8954.45,9002.55,9081.377888536474852741,11035,3629,100213005.00,4758,43.12,226.25,-102.45
14-October-2025,9141.05,9141.05,9027.30,9101.90,9089.266470560769482187,21417,5255,194664820.00,12042,56.23,113.75,-39.15
13-October-2025,8938.00,9083.20,8920.95,9071.25,9045.048931955672145189,18679,3907,168952469.00,9557,51.16,162.25,133.25
10-October-2025,8792.05,8957.00,8780.00,8947.25,8907.898529939046253137,11156,2996,99376516.00,5532,49.59,177.00,155.20
9-October-2025,8809.80,8820.75,8701.30,8811.10,8777.638080555020235112,5189,1603,45547164.00,2967,57.18,119.45,1.30
8-October-2025,8900.85,8909.75,8757.00,8790.35,8822.633753501400560224,5712,1415,50394884.00,2562,44.85,152.75,-110.50
7-October-2025,8795.00,8914.45,8787.70,8903.90,8848.903947005244272702,10869,2430,96178737.00,4803,44.19,126.75,108.90
6-October-2025,8705.00,8807.75,8648.80,8794.30,8724.524485223514349727,9373,2545,81774968.00,5395,57.56,158.95,89.30
3-October-2025,8637.60,8697.20,8490.10,8685.75,8589.589698255539839698,8484,1841,72874079.00,3204,37.77,207.10,48.15
1-October-2025,8719.25,8844.00,8584.35,8618.70,8680.815277994893439633,19191,3100,166593526.00,12539,65.34,259.65,-100.55
30-September-2025,8798.75,8798.75,8637.65,8675.85,8696.120769947221359826,6442,1878,56020410.00,3160,49.05,161.10,-122.90
29-September-2025,8708.15,8826.00,8675.00,8720.95,8750.171577819448165014,7466,1902,65328781.00,3783,50.67,151.00,12.80
26-September-2025,8821.35,8879.95,8668.25,8707.90,8777.492419648271679805,4947,1190,43422255.00,2276,46.01,211.70,-113.45
25-September-2025,8820.00,8909.30,8760.00,8840.05,8826.880434782608695652,4232,1102,37355358.00,1496,35.35,149.30,20.05
24-September-2025,9012.85,9012.85,8803.05,8829.25,8884.854415700267618198,5605,1590,49799609.00,2979,53.15,209.80,-183.60
23-September-2025,9060.00,9226.40,8953.50,8979.40,9082.488817891373801916,8138,2063,73913294.00,4805,59.04,272.90,-80.60
22-September-2025,8912.50,9198.10,8912.50,9053.15,9112.610159302675082657,9981,2301,90952962.00,3091,30.97,285.60,140.65
19-September-2025,9025.10,9058.45,8944.20,8967.90,8981.978949785670545009,13064,2730,117340573.00,8508,65.13,114.25,-57.20
18-September-2025,9085.35,9112.05,9027.00,9075.00,9063.288716707021791767,10325,5255,93578456.00,3715,35.98,85.05,-10.35
17-September-2025,9074.20,9135.00,9066.70,9086.85,9096.517337382941027587,7902,3520,71880680.00,2994,37.89,68.30,12.65
16-September-2025,9067.65,9099.00,9027.00,9074.20,9059.952741312741312741,6475,1575,58663194.00,2988,46.15,72.00,6.55
15-September-2025,9000.55,9091.40,8963.35,9026.60,9026.284056930989116134,8361,1760,75468761.00,2810,33.61,128.05,26.05
12-September-2025,9094.15,9203.30,8980.00,8997.15,9074.005839271575613618,10104,2075,91683755.00,4326,42.81,223.30,-97.00
11-September-2025,9202.05,9239.95,9075.85,9109.45,9130.860615883306320907,9872,3400,90139856.00,3794,38.43,164.10,-92.60
10-September-2025,9447.45,9447.45,9180.65,9243.05,9285.299061242735806884,11185,3353,103856070.00,4848,43.34,266.80,-204.40
9-September-2025,9429.95,9429.95,9250.00,9381.15,9374.541462590778584698,17763,4250,166519980.00,6795,38.25,179.95,-48.80
8-September-2025,9108.00,9471.00,9076.50,9442.65,9371.586562579984642948,39070,6479,366147887.00,18643,47.72,394.50,334.65
5-September-2025,9169.90,9170.00,9059.35,9082.05,9102.494971264367816091,5568,1490,50682692.00,2228,40.01,110.65,-87.85
4-September-2025,9300.05,9349.85,9048.95,9067.40,9189.810139453805926786,34420,8396,316313265.00,14837,43.11,300.90,-232.65
3-September-2025,9024.05,9130.00,8988.60,9116.05,9096.075907590759075907,43329,6536,394123873.00,29404,67.86,141.40,92.00
2-September-2025,8961.95,9111.00,8928.70,9031.40,9043.153395784543325526,15372,3621,139011354.00,5245,34.12,182.30,69.45
1-September-2025,8655.00,9038.00,8655.00,8961.95,8904.242179581279927300,28611,4836,254759273.00,12632,44.15,383.00,306.95
29-August-2025,8747.05,8747.05,8572.15,8630.60,8645.582179575051405071,7295,1941,63069522.00,3587,49.17,174.90,-116.45
28-August-2025,8742.50,8758.95,8664.30,8692.05,8711.511260827718960538,5195,1251,45256301.00,2106,40.54,94.65,-50.45
26-August-2025,8705.10,8824.00,8646.00,8683.25,8766.674078033137359700,18710,4431,164024472.00,7789,41.63,178.00,-21.85
25-August-2025,8739.95,8760.00,8635.50,8750.80,8710.906465899025686448,5645,1359,49173067.00,2423,42.92,124.50,10.85
22-August-2025,8684.50,8712.20,8582.50,8676.95,8647.974196190866270735,9766,2077,84456116.00,4240,43.42,129.70,-7.55
21-August-2025,8848.95,8850.35,8631.20,8685.50,8727.564510644086240903,14703,2111,128321381.00,5037,34.26,219.15,-163.45
20-August-2025,8800.00,8871.00,8765.00,8826.25,8826.086702564570594140,10957,1985,96707432.00,6225,56.81,106.00,26.25
19-August-2025,8610.00,8855.00,8587.45,8795.30,8778.971693940734188412,27132,3798,238191060.00,10712,39.48,267.55,185.30
