year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,5,0,43,8,59,-8,-38,11
2015-03-01,0,0,5,0,40,7,56,-8,-35,13
2016-03-01,0,0,4,0,43,9,60,-8,-34,12
2017-03-01,0,0,4,0,41,8,61,-13,-26,17
2018-03-01,0,0,7,0,35,12,66,-19,-13,40
2019-03-01,0,0,6,0,31,11,59,-17,-12,28
2020-03-01,0,0,6,0,22,16,57,-19,-18,11
2021-03-01,0,0,5,0,55,24,99,-20,-13,7
2022-03-01,0,0,4,0,49,28,68,9,2,12
2023-03-01,0,0,4,0,34,12,48,-3,-13,18
2024-03-01,0,0,6,0,35,16,59,-7,-17,15
2025-03-01,0,0,6,0,56,19,87,-13,-20,16
