year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,151,20827,1824,7798,30600,10790,2621,10118,7070,30600
2015-03-01,151,23553,516,9330,33549,12259,1883,12814,6593,33549
2016-03-01,151,29733,231,11825,41940,12510,1007,19932,8491,41940
2017-03-01,151,36280,484,14336,51251,13293,1252,28481,8225,51251
2018-03-01,151,41606,111,17502,59370,13359,2126,35290,8595,59370
2019-03-01,151,45990,150,16641,62932,15408,1600,36515,9409,62932
2020-03-01,151,48286,171,13944,62552,15781,1337,36468,8966,62552
2021-03-01,151,51216,531,18170,70067,14957,1490,41787,11834,70067
2022-03-01,151,53935,419,18889,73394,13717,2929,40763,15984,73394
2023-03-01,151,60231,1247,21549,83179,17805,2897,47756,14720,83179
2024-03-01,157,83825,119,26184,110285,18495,6534,68514,16742,110285
2025-03-01,157,93890,76,31497,125620,24707,5759,74506,20648,125620
2025-09-01,157,97256,92,34131,131636,26699,6123,75142,23673,131636
