year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,43792,38590,5202,12,717,176,2084,3658,24,2783,92.13,13
2015-03-01,49971,43209,6761,14,783,206,2470,4868,24,3711,122.85,20
2016-03-01,57538,48518,9020,16,1326,82,2820,7444,28,5364,177.58,20
2017-03-01,68035,57620,10415,15,2237,89,2602,9960,26,7350,243.32,31
2018-03-01,79763,67647,12116,15,1991,346,2758,11003,30,7722,255.62,31
2019-03-01,86020,74968,11052,13,2508,76,3019,10466,28,7501,248.3,32
2020-03-01,75611,68266,7345,10,3378,133,3526,7065,20,5651,187.06,32
2021-03-01,70332,64928,5404,8,2887,101,3032,5159,18,4230,140.02,32
2022-03-01,88296,82549,5747,7,1748,126,2786,4582,18,3766,124.68,48
2023-03-01,117523,106504,11019,9,2150,187,2823,10159,21,8049,266.46,34
2024-03-01,140933,124483,16449,12,3807,193,3022,17040,22,13209,420.14,30
2025-03-01,151900,134074,17826,12,4710,193,3159,19183,27,13955,443.86,30
2026-03-03,171311,152395,18916,11,5290,213,5247,18747,,14520,461.82,
