Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-February-2026,458.25,465.35,435.30,441.80,452.776698624137044015,431511,11357,195378126.00,197722,45.82,30.05,-16.45
30-January-2026,459.70,485.00,449.80,458.25,463.244345266183020424,1642385,35377,760825564.00,609054,37.08,35.20,-1.45
29-January-2026,473.10,475.40,459.80,470.20,466.851409909445163133,1512012,28637,705884934.00,851086,56.29,15.60,-2.90
28-January-2026,448.15,470.25,448.10,468.10,459.868299017412506842,1044996,21632,480560533.00,515871,49.37,22.15,19.95
27-January-2026,450.40,454.40,438.40,442.70,447.275662521241930040,1013326,24312,453236058.00,406896,40.15,16.00,-7.70
23-January-2026,446.80,456.40,439.50,449.10,449.022769242810774848,817682,20442,367157836.00,310393,37.96,16.90,2.30
22-January-2026,435.50,453.95,435.50,444.80,442.478547871981857029,3070721,22009,1358728169.00,2380748,77.53,18.45,9.30
21-January-2026,430.80,449.50,421.20,434.70,433.972743292145690235,1312044,25731,569391334.00,562829,42.90,28.30,3.90
20-January-2026,443.15,445.95,427.00,432.35,443.024541349129820716,3026158,18332,1340662260.00,2503794,82.74,18.95,-10.80
19-January-2026,439.50,451.25,434.50,441.35,441.033638346422276435,912857,23740,402600644.00,445038,48.75,16.75,1.85
16-January-2026,430.85,446.50,428.00,438.60,440.261477130280150424,686060,14820,302045789.00,348833,50.85,18.50,7.75
14-January-2026,425.10,436.00,422.60,433.65,431.162329291759299045,909959,21153,392340042.00,522715,57.44,13.40,8.55
13-January-2026,425.00,432.20,422.15,424.15,425.304689605278810228,411911,7181,175187680.00,145108,35.23,10.05,-0.85
12-January-2026,423.95,429.65,414.80,424.80,420.420677394276021485,1924256,39045,808997011.00,1084871,56.38,14.85,0.85
9-January-2026,429.45,446.05,427.90,431.85,436.583354696283671693,1696863,36964,740822141.00,822740,48.49,18.15,2.40
8-January-2026,436.70,441.50,430.20,435.20,436.214129347662274303,1678747,22036,732293161.00,1025284,61.07,11.30,-1.50
7-January-2026,434.45,440.70,430.35,435.50,436.483834899691753527,1989966,30215,868587991.00,473399,23.79,10.35,1.05
6-January-2026,429.05,438.75,427.40,432.65,431.773459980165750536,1003315,19960,433204789.00,490711,48.91,11.35,3.60
5-January-2026,437.65,437.65,422.50,426.50,429.745466699706673889,867635,16794,372862208.00,429379,49.49,15.15,-11.15
2-January-2026,433.65,447.90,432.40,442.20,440.490365755627009646,995200,25278,438376012.00,486629,48.90,15.50,8.55
1-January-2026,419.45,430.20,417.55,426.50,426.324195725925135441,1611764,23438,687133991.00,632382,39.24,12.65,7.05
31-December-2025,412.10,418.00,409.70,415.45,414.181133644554890209,815282,21479,337674423.00,459430,56.35,8.30,3.35
30-December-2025,409.55,415.70,405.00,409.70,410.161147183589917061,804091,16412,329806887.00,382009,47.51,10.70,0.15
29-December-2025,408.75,417.80,406.55,409.55,410.658067956562957855,928240,21216,381189245.00,476708,51.36,11.25,0.80
26-December-2025,409.60,416.70,403.35,408.65,410.441312264543902085,1082739,21587,444400816.00,571919,52.82,13.35,-0.95
24-December-2025,426.10,433.65,408.00,408.85,418.437269629582242827,1062962,17535,444782917.00,584266,54.97,25.65,-17.25
23-December-2025,412.20,427.90,412.20,425.95,421.836016957962322779,1058146,19174,446364094.00,443298,41.89,15.70,13.75
22-December-2025,394.75,414.00,394.75,411.45,409.036529235089909115,1486946,35740,608215231.00,912780,61.39,19.25,16.70
19-December-2025,401.60,403.35,385.10,394.45,396.788256984939583589,1236088,29548,490465203.00,665133,53.81,18.25,-7.15
18-December-2025,388.10,406.55,388.10,401.55,401.223619732512515331,1228693,17013,492980653.00,744960,60.63,18.45,13.45
17-December-2025,387.45,397.60,383.40,386.70,388.654858097161943238,799984,20151,310917668.00,401913,50.24,14.20,-0.75
16-December-2025,377.70,390.00,374.40,387.35,383.562848580117825363,993674,26272,381136430.00,653567,65.77,15.60,9.65
15-December-2025,370.40,379.00,365.15,378.00,372.838257419064155835,759058,17990,283005862.00,476746,62.81,13.85,7.60
12-December-2025,372.30,379.00,366.40,373.75,371.345226594558480310,886076,18614,329040093.00,590899,66.69,12.60,1.45
11-December-2025,378.05,379.85,370.00,372.65,374.457121968067053506,668839,21118,250451527.00,330572,49.42,9.85,-5.40
10-December-2025,376.15,383.10,368.45,378.00,375.834106000604115663,1198446,26734,450416881.00,591149,49.33,14.65,1.85
9-December-2025,356.10,382.00,353.35,373.50,371.102836838444420118,2941514,42185,1091604190.00,2291273,77.89,28.65,17.40
8-December-2025,356.10,364.00,356.10,360.45,360.051816888560967659,395759,9281,142493747.00,223091,56.37,7.90,4.35
5-December-2025,355.00,361.20,349.35,359.45,355.901487351917155616,670655,20735,238687112.00,427315,63.72,11.85,4.45
4-December-2025,357.20,361.55,354.35,356.55,357.928725499390415455,565139,9498,202279482.00,392575,69.47,7.20,-0.65
3-December-2025,353.05,362.20,346.20,360.35,356.373433423243249742,1497054,43522,533510274.00,960497,64.16,16.00,7.30
2-December-2025,360.95,367.90,352.30,355.00,358.144521046588327266,1023325,26474,366498242.00,619096,60.50,15.60,-5.95
1-December-2025,351.55,365.00,351.55,359.05,358.689998703328051409,1365033,38386,489623685.00,807669,59.17,13.45,7.50
28-November-2025,341.90,359.90,331.40,352.25,350.827530363616677307,1071348,21676,375858373.00,454895,42.46,28.50,10.35
27-November-2025,320.60,347.65,320.60,343.85,340.165356185997436168,3284927,51495,1117418363.00,2364239,71.97,27.05,23.25
26-November-2025,319.80,325.00,317.80,324.20,322.930603812343007060,1271554,25271,410623701.00,841241,66.16,7.20,4.40
25-November-2025,315.00,320.00,308.00,318.40,316.557017336671548018,338704,6703,107219128.00,338704,100.00,12.00,3.40
24-November-2025,318.30,324.00,314.10,319.70,320.548170169548347655,202833,4503,65017747.00,202833,100.00,9.90,1.40
21-November-2025,320.35,325.00,316.00,323.80,320.897448895913164054,201207,6692,64566813.00,201207,100.00,9.00,3.45
20-November-2025,320.60,325.40,320.00,322.50,322.462239788535652373,558392,15020,180060335.00,558392,100.00,5.40,1.90
19-November-2025,320.90,333.00,318.00,325.40,326.693559332829348593,1318823,29059,430850980.00,1318823,100.00,15.00,4.50
18-November-2025,317.20,326.95,310.00,325.25,321.366816829185766036,1468853,52009,472040613.00,1468853,100.00,16.95,8.05
17-November-2025,318.45,325.50,311.00,323.10,319.697632443754288396,2769100,55302,885274714.00,2769100,100.00,14.50,4.65
14-November-2025,314.00,334.95,306.00,321.65,318.289081850839904149,744073,11290,236830312.00,744073,100.00,28.95,7.65
13-November-2025,322.85,326.00,315.00,320.25,321.864286561605418241,446787,10220,143804779.00,446787,100.00,11.00,-2.60
12-November-2025,330.25,346.75,318.00,327.65,328.380352016448082210,2124503,42022,697645043.00,2124503,100.00,28.75,-2.60
