year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2015-03-01,50,4750,,1325,32780,252,0,326,32201,32780
2016-03-01,54,7373,,2522,46973,290,0,1029,45654,46973
2017-03-01,109,9491,,4881,63731,366,0,4070,59295,63731
2018-03-01,115,15733,,2393,84798,470,0,3139,81189,84798
2019-03-01,115,19582,,2948,124233,695,0,8599,114939,124233
2020-03-01,120,32208,,2257,164391,1321,0,17544,145526,164391
2021-03-01,120,36798,,2918,171470,1316,51,18397,151707,171470
2022-03-01,121,43592,,3562,212506,1716,34,12246,198510,212506
2023-03-01,121,54251,,4164,275226,2308,80,22752,250087,275226
2024-03-01,124,76572,,5700,375742,3250,43,30881,341568,375742
2025-03-01,124,96569,,8185,466127,3780,41,34441,427865,466127
2025-09-01,622,102592,,9346,509961,3752,33,33751,472425,509961
