year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2015-03-01,,1752,,,26,2274,36,1357,34,898,1.79,10
2016-03-01,,2354,,,35,2959,56,1965,35,1279,2.37,10
2017-03-01,,3250,,,22,3853,71,2817,35,1836,3.34,11
2018-03-01,,4115,,,10,4696,102,3843,35,2496,4.32,9
2019-03-01,,5454,,,13,6723,144,6179,35,3995,6.91,9
2020-03-01,,9159,,,9,9608,295,7322,28,5264,8.75,11
2021-03-01,,10839,,,3,9519,325,5992,26,4420,7.33,14
2022-03-01,,11880,,,-17,9855,385,9504,26,7028,11.61,17
2023-03-01,,12693,,,-5,12701,485,15528,26,11508,19.01,16
2024-03-01,,16099,,,4,18886,683,19310,25,14451,23.35,15
2025-03-01,,21754,,,-2,24992,881,22080,24,16779,26.77,21
2026-03-03,,26262,,,-232,27820,1005,24054,,18325,29,
