year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,480,43687,,42776,503620,3026,0,119571,381023,503620
2015-03-01,501,62653,,34181,607097,3225,0,149454,454417,607097
2016-03-01,506,73798,,38321,762212,3667,0,193634,564912,762212
2017-03-01,513,91281,,59000,892344,4000,0,210777,677567,892344
2018-03-01,519,109080,,48770,1103186,4008,0,238461,860717,1103186
2019-03-01,545,153128,,58898,1292806,4369,0,289446,998991,1292806
2020-03-01,548,175810,,71430,1580830,4776,0,389305,1186750,1580830
2021-03-01,551,209259,,78279,1799507,5248,0,438823,1355435,1799507
2022-03-01,555,246772,,90639,2122934,6432,0,449264,1667238,2122934
2023-03-01,558,288880,,101783,2530432,8431,0,511582,2010419,2530432
2024-03-01,760,455636,,466296,4030194,12604,0,1005682,3011909,4030194
2025-03-01,765,521024,,524817,4392110,15258,0,1186473,3190379,4392110
2025-09-01,1536,537608,,577920,4514741,15538,0,1250391,3248813,4514741
