year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,6765,-15750,7872,-1113
2015-03-01,-12273,-13175,24827,-621
2016-03-01,23645,-12060,5814,17399
2017-03-01,52636,-1711,-35470,15455
2018-03-01,19383,-50551,39676,8508
2019-03-01,48671,-30282,-19997,-1608
2020-03-01,79565,-42095,2992,40462
2021-03-01,138015,-63631,-54667,19718
2022-03-01,58111,-40007,17451,35555
2023-03-01,-3771,-67689,24791,-46669
2024-03-01,157284,-144737,13765,26312
2025-03-01,122805,-77140,5589,51255
