year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,,32852,,,30085,29711,719,16282,28,11677,17.38,24
2015-03-01,,38766,,,35252,32318,798,18334,29,12942,19.2,24
2016-03-01,,52252,,,42102,33996,843,14304,24,10927,15.92,29
2017-03-01,,63841,,,52458,34836,912,13809,18,11340,15.9,14
2018-03-01,,72806,,,56807,34262,922,10978,17,9100,12,12
2019-03-01,,83775,,,59325,39178,946,7408,23,5689,6.6,15
2020-03-01,,85361,,,64950,44666,1171,18589,40,11225,14.78,0
2021-03-01,,91309,,,72174,42659,1340,26028,22,20364,26.58,8
2022-03-01,,80798,,,62129,41167,1330,34241,25,26538,36.14,14
2023-03-01,,87864,,,65112,50543,1515,46256,26,35461,48.74,16
2024-03-01,,99560,,,76522,74108,1935,60434,26,46081,63.02,16
2025-03-01,,130078,,,108255,89028,2627,72854,25,54569,71.65,15
2026-03-14,,141798,,,113241,90029,0,75426,,56609,74.19,
