Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,2208.15,2221.60,2189.00,2218.25,2212.895282186948853615,122472,7968,271017711.00,22558,18.42,32.60,10.10
31-December-2025,2155.80,2205.00,2155.80,2200.75,2179.543237325877850796,1766217,8379,3849546318.00,1666313,94.34,49.20,44.95
30-December-2025,2155.00,2164.00,2138.45,2154.65,2148.947292824580028726,32026,2684,68822186.00,19621,61.27,25.55,-0.35
29-December-2025,2166.05,2181.30,2155.45,2158.70,2163.560995726175301792,13337,1534,28855413.00,6986,52.38,25.85,-7.35
26-December-2025,2155.80,2173.90,2153.00,2163.65,2162.418716669533803543,17439,2237,37710420.00,9067,51.99,20.90,7.85
24-December-2025,2163.25,2176.75,2160.45,2164.45,2166.559234375296551462,105378,13149,228307679.00,55449,52.62,16.30,1.20
23-December-2025,2150.30,2170.00,2149.75,2161.85,2162.283647227673471778,34141,8738,73822526.00,17834,52.24,20.25,11.55
22-December-2025,2173.20,2173.20,2147.90,2149.95,2158.743301425406512561,23923,2555,51643616.00,12428,51.95,25.30,-23.25
19-December-2025,2163.00,2177.30,2156.05,2159.50,2163.379636254094965545,26557,1652,57452873.00,16596,62.49,21.25,-3.50
18-December-2025,2178.85,2178.85,2161.05,2165.25,2167.212310294946919361,163148,21602,353576354.00,43192,26.47,17.80,-13.60
17-December-2025,2190.00,2190.05,2163.15,2173.50,2172.962492501108531782,38339,2400,83309209.00,12220,31.87,26.90,-16.50
16-December-2025,2187.00,2193.50,2172.65,2182.15,2181.881808695652173913,14375,1402,31364551.00,6061,42.16,20.85,-4.85
15-December-2025,2169.95,2185.00,2156.00,2180.50,2172.092537380652134750,222040,4925,482291427.00,213781,96.28,29.00,10.55
12-December-2025,2182.00,2200.60,2174.20,2176.45,2185.220917672474522143,42586,3885,93059818.00,24755,58.13,26.40,-5.55
11-December-2025,2124.50,2204.90,2118.20,2181.40,2185.090519820374199125,469643,22520,1026212467.00,206962,44.07,86.70,56.90
10-December-2025,2129.60,2155.85,2123.50,2129.30,2135.060432471983671583,103868,11783,221764457.00,36631,35.27,32.35,-0.30
9-December-2025,2111.65,2132.80,2109.20,2129.55,2122.009897754330267519,42838,3914,90902660.00,24460,57.10,23.60,17.90
8-December-2025,2155.30,2158.40,2125.10,2131.60,2143.117866594286489787,29474,2575,63166256.00,16712,56.70,33.30,-23.70
5-December-2025,2142.55,2165.55,2132.00,2154.55,2151.226988155668358714,59100,4757,127137515.00,25426,43.02,33.55,12.00
4-December-2025,2138.05,2146.00,2121.25,2135.50,2132.534147535789382723,173585,11992,370175940.00,16682,9.61,24.75,-2.55
3-December-2025,2140.30,2151.00,2119.45,2145.45,2132.471132933192692921,107129,4094,228449500.00,62170,58.03,31.55,5.15
2-December-2025,2132.70,2160.00,2132.70,2142.30,2152.483608775176683225,92397,4508,198883028.00,63427,68.65,27.30,9.60
1-December-2025,2132.65,2162.80,2129.45,2147.75,2153.150283689985887503,34721,2876,74759531.00,15056,43.36,33.35,15.10
28-November-2025,2112.25,2141.00,2102.50,2124.00,2125.575041315961412813,26019,2092,55305337.00,12178,46.80,38.50,11.75
27-November-2025,2090.90,2130.00,2090.90,2109.60,2112.336708621179142613,211340,19113,446421240.00,22821,10.80,39.10,18.70
26-November-2025,2070.65,2109.75,2070.65,2103.25,2081.103318491517249281,750582,14726,1562038691.00,710562,94.67,39.10,32.60
25-November-2025,2090.20,2090.25,2066.90,2070.40,2077.833328194375925012,64864,7177,134776581.00,55028,84.84,23.35,-19.80
24-November-2025,2098.90,2104.00,2078.00,2086.90,2088.801516229544395102,40759,3114,85137461.00,23189,56.89,26.00,-12.00
21-November-2025,2091.70,2111.00,2078.30,2086.50,2097.912896486229819563,52650,3570,110455114.00,17389,33.03,32.70,-5.20
20-November-2025,2118.80,2118.80,2093.35,2097.10,2098.843459905652424611,296563,18794,622439313.00,56436,19.03,25.45,-21.70
19-November-2025,2092.70,2110.00,2089.20,2106.10,2098.580517018267176261,33229,5467,69733732.00,15728,47.33,20.80,13.40
18-November-2025,2094.95,2102.00,2080.10,2091.85,2090.903554282174384389,25828,2721,54003857.00,15809,61.21,21.90,-3.10
17-November-2025,2091.95,2119.65,2091.95,2102.20,2103.633850280251710738,87243,4598,183527328.00,47076,53.96,27.70,10.25
14-November-2025,2080.05,2084.90,2064.50,2075.15,2073.980018303843807199,6556,841,13597013.00,2606,39.75,20.40,-4.90
13-November-2025,2083.55,2086.20,2064.50,2074.65,2075.726123207999028815,362444,20444,752334479.00,107079,29.54,21.70,-8.90
12-November-2025,2091.20,2100.00,2080.00,2081.30,2086.572362108328094497,120892,3913,252249906.00,99811,82.56,20.00,-9.90
11-November-2025,2111.40,2111.40,2075.15,2087.35,2086.790553167632218276,21404,3481,44665665.00,10302,48.13,36.25,-24.05
10-November-2025,2090.20,2104.40,2081.05,2093.65,2098.315427281522089648,155050,4021,325343807.00,123711,79.79,23.35,3.45
7-November-2025,2084.30,2099.45,2060.00,2089.15,2084.218089056025294019,41749,4239,87014021.00,12455,29.83,39.45,4.85
6-November-2025,2084.70,2103.20,2075.00,2083.25,2083.879022631489195839,369441,16664,769870350.00,13615,3.69,28.20,-1.45
4-November-2025,2122.45,2122.45,2093.25,2095.80,2101.921110299488677867,15059,1435,31652830.00,6571,43.64,29.20,-26.65
3-November-2025,2104.70,2119.25,2088.90,2113.25,2104.261562883324915217,13859,1539,29162961.00,5406,39.01,30.35,8.55
31-October-2025,2135.00,2143.00,2100.25,2101.95,2114.482674308140349784,64211,4922,135773047.00,23588,36.74,42.75,-33.05
30-October-2025,2149.10,2150.40,2126.50,2137.50,2135.135176621458827186,411728,12848,879094936.00,267958,65.08,23.90,-11.60
29-October-2025,2167.00,2175.00,2147.00,2149.80,2156.820294636913548088,34551,7066,74520298.00,16207,46.91,28.00,-17.20
28-October-2025,2143.85,2168.00,2143.85,2160.35,2155.100901572668112798,59008,10452,127168194.00,31292,53.03,24.15,16.50
27-October-2025,2173.75,2185.00,2125.00,2148.85,2163.648723457062036387,608401,9207,1316366047.00,499677,82.13,60.00,-24.90
24-October-2025,2233.05,2234.80,2169.00,2186.85,2182.359020586138945956,47702,6108,104102890.00,13242,27.76,65.80,-46.20
23-October-2025,2228.00,2244.55,2210.80,2225.05,2236.489170016451507865,703279,20508,1572875867.00,487662,69.34,33.75,-2.95
21-October-2025,2214.25,2220.00,2186.10,2196.00,2198.999367804618353630,30054,3533,66088727.00,11165,37.15,33.90,-18.25
20-October-2025,2210.00,2264.90,2200.00,2214.25,2226.152475922611437824,35199,4945,78358341.00,14384,40.86,64.90,4.25
17-October-2025,2200.75,2209.85,2189.50,2205.50,2200.657265015040389360,59174,11355,130221693.00,19414,32.81,20.35,4.75
16-October-2025,2148.75,2214.80,2148.75,2206.00,2196.136054037382605481,424743,27689,932793416.00,84711,19.94,66.05,57.25
15-October-2025,2153.00,2166.40,2141.40,2148.70,2151.831606361168061173,54141,9194,116502315.00,19246,35.55,25.00,-4.30
14-October-2025,2153.60,2164.85,2141.50,2151.35,2153.055764057258626988,30109,8322,64826356.00,16292,54.11,23.35,-2.25
13-October-2025,2128.20,2155.85,2128.20,2152.10,2147.461644591611479028,39864,5662,85606411.00,16929,42.47,27.65,23.90
10-October-2025,2140.40,2157.50,2137.15,2149.55,2147.962020548661825943,47789,4164,102648957.00,24023,50.27,20.35,9.15
9-October-2025,2112.75,2151.25,2101.50,2145.05,2143.328355248721367925,236972,9933,507908807.00,22944,9.68,49.75,32.30
8-October-2025,2122.55,2132.85,2112.00,2117.35,2120.596349776442131496,40929,3299,86793888.00,18187,44.44,20.85,-5.20
7-October-2025,2142.10,2153.35,2122.50,2126.10,2137.955484381747516913,27788,1695,59409507.00,16192,58.27,30.85,-16.00
6-October-2025,2111.50,2154.80,2095.00,2145.45,2124.492375284298696484,199614,12875,424078421.00,102824,51.51,59.80,33.95
3-October-2025,2079.30,2108.00,2062.95,2100.90,2094.625288959165971504,722853,7843,1514106174.00,641924,88.80,45.05,21.60
1-October-2025,1975.60,2073.30,1975.60,2062.95,2043.556646420637411462,812505,15784,1660399993.00,498529,61.36,97.70,87.35
30-September-2025,2000.00,2015.90,1987.00,1994.20,1999.528695266436241982,54103,3537,108180501.00,27546,50.91,28.90,-5.80
29-September-2025,1994.80,2002.95,1970.05,1992.20,1989.754720213823116197,58366,4038,116134024.00,29742,50.96,32.90,-2.60
26-September-2025,2012.05,2018.00,1990.00,1994.40,1997.624272628560291783,35917,2842,71748671.00,4368,12.16,28.00,-17.65
25-September-2025,2013.05,2037.95,2009.45,2012.55,2016.641840342860616622,98699,14004,199040533.00,27098,27.46,28.50,-0.50
24-September-2025,2045.00,2048.00,2028.25,2030.85,2034.501337058471363001,75165,14272,152923293.00,15892,21.14,19.75,-14.15
23-September-2025,2015.05,2053.10,2008.50,2047.85,2034.724360134670383376,27623,5647,56205191.00,9380,33.96,44.60,32.80
22-September-2025,2013.65,2039.30,2013.65,2021.35,2028.410987945968865467,49527,5989,100461111.00,24580,49.63,25.65,7.70
19-September-2025,2054.00,2054.00,2026.80,2030.40,2035.566478757046610752,29092,6836,59218700.00,9187,31.58,27.20,-23.60
18-September-2025,2053.95,2061.00,2043.00,2054.20,2054.687575831108954137,148356,13517,304825230.00,81047,54.63,18.00,0.25
17-September-2025,2023.35,2052.20,2022.00,2050.30,2044.762511195089451495,91558,6931,187214366.00,50799,55.48,30.20,26.95
16-September-2025,1971.35,2030.00,1971.35,2021.40,2010.081979719635080581,125836,5765,252940676.00,87553,69.58,58.65,50.05
15-September-2025,1970.00,1982.20,1965.00,1971.05,1969.837445573294629898,62699,1671,123506838.00,51415,82.00,17.20,1.05
12-September-2025,1973.00,1984.80,1966.20,1972.15,1978.646076022327387452,131856,3000,260896357.00,114930,87.16,18.60,-0.85
11-September-2025,1973.60,1985.00,1963.15,1972.00,1973.736180500830126316,130703,16897,257973240.00,50424,38.58,21.85,-1.60
10-September-2025,1990.00,1990.00,1951.10,1973.40,1964.101049843505176071,1039012,25281,2040724560.00,674517,64.92,38.90,-16.60
9-September-2025,1950.70,1964.00,1939.50,1959.65,1948.618382662819723149,123388,13330,240436125.00,61077,49.50,24.50,8.95
8-September-2025,1942.05,1962.00,1931.50,1950.50,1943.960404687386272654,41217,3377,80124216.00,12957,31.44,30.50,8.45
5-September-2025,1950.20,1956.60,1937.75,1944.00,1946.188341553073462021,240478,3709,468015480.00,210579,87.57,18.85,-6.20
4-September-2025,1969.95,1971.20,1946.65,1949.90,1955.342116063366986784,60915,9220,119109665.00,20788,34.13,24.55,-20.05
3-September-2025,1949.95,1964.00,1930.95,1960.40,1947.233622864138637059,94751,5084,184502333.00,69066,72.89,33.05,10.45
2-September-2025,1968.00,1974.60,1940.50,1942.50,1955.445947596653026323,32746,2576,64033033.00,19152,58.49,34.10,-25.50
1-September-2025,1957.05,1972.00,1955.65,1967.65,1961.374019018336453464,80659,3527,158202467.00,58884,73.00,16.35,10.60
29-August-2025,1946.10,1984.85,1946.10,1960.35,1970.193638415760311922,48730,3331,96007536.00,20777,42.64,38.75,14.25
28-August-2025,1950.00,1966.50,1940.95,1946.10,1952.763080840229153405,15710,1334,30677908.00,6803,43.30,25.55,-3.90
26-August-2025,1970.95,1981.90,1960.50,1965.30,1966.397722858140693855,509674,27482,1002221793.00,23228,4.56,21.40,-5.65
25-August-2025,1982.95,1996.95,1977.25,1983.45,1984.453514136311264734,101547,6676,201515301.00,16253,16.01,19.70,0.50
22-August-2025,2007.55,2018.00,1981.00,1986.60,1996.580248913366269809,37041,2323,73955329.00,12276,33.14,37.00,-20.95
21-August-2025,2035.05,2037.40,2012.05,2017.60,2020.226927865078805815,42573,2667,86007121.00,21781,51.16,25.35,-17.45
20-August-2025,2013.00,2024.20,2006.15,2018.35,2017.960676187035311567,52589,6277,106122534.00,34331,65.28,18.05,5.35
19-August-2025,1990.05,2032.90,1990.05,2030.10,2021.772417128286292095,227460,6710,459872354.00,191179,84.05,42.85,40.05
18-August-2025,1991.30,2025.95,1991.30,2001.30,2016.140662899313619239,310032,14239,625068122.00,220375,71.08,34.65,10.00
14-August-2025,1989.55,1993.30,1975.60,1978.95,1984.424716405976712807,240132,7476,476523876.00,176380,73.45,17.70,-10.60
13-August-2025,1973.85,1995.95,1962.70,1988.15,1988.773479875589983484,119283,4235,237226867.00,94235,79.00,33.25,14.30
12-August-2025,1979.80,1985.25,1956.60,1958.95,1967.623383644398624565,159077,6066,313003625.00,137741,86.59,28.65,-20.85
11-August-2025,1960.05,2017.00,1956.45,1976.85,1966.824329452666887019,81687,2702,160663979.00,69387,84.94,60.55,16.80
8-August-2025,1988.00,1999.00,1948.25,1950.90,1987.020302455020062993,463540,3107,921063391.00,450588,97.21,50.75,-37.10
7-August-2025,1981.00,1995.00,1970.10,1992.35,1976.921334584801742610,169401,3652,334892451.00,108153,63.84,24.90,11.35
6-August-2025,2001.90,2025.00,1993.15,2002.15,2010.151714906298934181,39594,4126,79589947.00,20988,53.01,31.85,0.25
5-August-2025,2007.00,2007.00,1995.00,2003.00,2000.805395359530971586,52193,1643,104428036.00,45361,86.91,12.00,-4.00
4-August-2025,1990.00,2007.00,1983.00,1996.95,1996.425176511107284312,11614,931,23186482.00,4681,40.30,24.00,6.95
1-August-2025,1978.60,2006.10,1973.70,1992.10,1994.130405680693789651,68724,5065,137044618.00,37848,55.07,32.40,13.50
31-July-2025,1949.95,1998.00,1934.90,1978.60,1971.239845280062671367,102120,4915,201303013.00,32519,31.84,63.10,28.65
30-July-2025,1969.30,1981.00,1957.50,1959.80,1965.188218825665859564,52864,3420,103887710.00,16926,32.02,23.50,-9.50
29-July-2025,1967.00,1980.00,1953.35,1973.00,1968.231501997515694766,119148,6405,234510847.00,27530,23.11,26.65,6.00
28-July-2025,2023.00,2056.05,1960.10,1965.60,1984.793104777427809960,363208,23132,720892734.00,172710,47.55,95.95,-57.40
25-July-2025,2144.90,2146.05,2118.35,2124.95,2127.212979556328838625,57475,2667,122261566.00,37249,64.81,27.70,-19.95
24-July-2025,2169.60,2169.60,2140.00,2141.45,2148.930221090476463804,383282,2425,823646273.00,370570,96.68,29.60,-28.15
23-July-2025,2160.00,2179.60,2158.00,2169.80,2166.728295250132070803,149541,4563,324014716.00,127963,85.57,21.60,9.80
22-July-2025,2165.00,2171.85,2145.60,2159.95,2155.400180298311752171,24404,1628,52600386.00,14514,59.47,26.25,-5.05
21-July-2025,2140.75,2167.55,2131.50,2164.65,2156.678372105873901751,36194,2651,78058817.00,17318,47.85,36.05,23.90
18-July-2025,2171.10,2171.10,2130.70,2140.75,2143.574061014172941738,43957,4197,94225085.00,16811,38.24,40.40,-30.35
17-July-2025,2182.00,2190.00,2168.20,2171.95,2172.223285255454553199,117379,3551,254973397.00,96040,81.82,21.80,-10.05
16-July-2025,2188.05,2188.90,2156.65,2178.85,2175.744753609633483369,34214,2549,74440931.00,15101,44.14,32.25,-9.20
15-July-2025,2210.15,2232.45,2182.40,2188.25,2211.048876517203330324,39876,2196,88167785.00,15869,39.80,50.05,-21.90
14-July-2025,2229.05,2229.05,2198.00,2203.30,2218.506435368693801378,259348,1817,575365207.00,249205,96.09,31.05,-25.75
11-July-2025,2199.40,2225.00,2199.40,2219.80,2212.636090596778506922,97222,3263,215116906.00,76081,78.25,25.60,20.40
10-July-2025,2228.00,2241.95,2198.60,2218.90,2222.317800649978774783,143697,3591,319340401.00,84666,58.92,43.35,-9.10
9-July-2025,2213.60,2233.20,2213.60,2228.35,2223.932567673895338403,72443,4362,161108347.00,34878,48.15,19.60,14.75
8-July-2025,2201.00,2241.00,2186.20,2224.50,2222.638174757348492552,580153,12939,1289470205.00,111790,19.27,54.80,23.50
7-July-2025,2128.45,2157.50,2123.20,2147.00,2141.302080233994805718,198295,7388,424609496.00,168773,85.11,34.30,18.55
