Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2024,642.70,646.90,637.60,641.95,643.355203355078747937,794497,21304,511143779.00,168747,21.24,9.30,-0.75
29-December-2023,646.45,649.50,639.55,641.95,642.419323695112860058,654616,19339,420537968.00,152876,23.35,9.95,-4.50
28-December-2023,650.00,653.35,646.40,651.10,650.198611286297101194,483613,8194,314444501.00,212265,43.89,6.95,1.10
27-December-2023,641.40,649.60,639.05,648.35,644.733308214576976180,403417,6340,260096377.00,171268,42.45,10.55,6.95
26-December-2023,639.85,641.30,635.80,637.95,639.232102794207627982,284374,8665,181780990.00,123799,43.53,5.50,-1.90
22-December-2023,645.40,649.40,635.25,636.65,641.243573600186203317,1383434,24444,887118162.00,399769,28.90,14.15,-8.75
21-December-2023,628.25,648.75,627.20,643.90,637.478499189102101925,561723,9840,358086335.00,204696,36.44,21.55,15.65
20-December-2023,659.40,660.40,633.70,636.15,646.116698659909935431,1323717,28522,855275658.00,630170,47.61,26.70,-23.25
19-December-2023,649.00,659.50,640.30,655.60,652.024506807868143763,1186201,22489,773432122.00,494614,41.70,19.20,6.60
18-December-2023,647.40,655.55,642.25,648.85,649.681289130748792283,1806923,40443,1173924064.00,595381,32.95,13.30,1.45
15-December-2023,626.15,649.95,619.90,648.40,637.282499059625953967,1121894,20560,714963412.00,283182,25.24,30.05,22.25
14-December-2023,625.30,627.55,622.35,623.55,624.489614314861997908,788104,17922,492162763.00,401187,50.91,5.20,-1.75
13-December-2023,614.20,620.50,611.70,619.85,616.006603965324763691,339493,7441,209129930.00,114546,33.74,8.80,5.65
12-December-2023,617.85,617.85,610.85,612.35,613.951723895441120331,597252,14199,366683895.00,256771,42.99,7.00,-5.50
11-December-2023,614.95,619.80,613.25,614.35,615.380610474226602979,820051,19733,504643485.00,174593,21.29,6.55,-0.60
8-December-2023,610.90,616.60,605.30,614.00,610.696987606549752344,1453429,33559,887604712.00,478352,32.91,11.30,3.10
7-December-2023,608.15,612.80,604.70,611.85,609.268017445856074361,373957,9713,227840040.00,147423,39.42,8.10,3.70
6-December-2023,612.00,613.75,604.40,608.10,609.826937722572617668,1118736,22978,682235349.00,628547,56.18,9.35,-3.90
5-December-2023,594.65,611.35,594.65,608.40,606.003127042402106550,951698,15404,576731964.00,348405,36.61,16.70,13.75
4-December-2023,583.35,596.00,583.35,594.65,590.321051995794315523,3410622,66621,2013361967.00,2195401,64.37,12.65,11.30
1-December-2023,568.25,574.15,566.95,571.85,572.010418488226271427,800596,16791,457949253.00,171009,21.36,7.20,3.60
30-November-2023,570.50,570.50,563.55,564.70,566.948445398399770321,292583,8903,165879477.00,98934,33.81,6.95,-5.80
29-November-2023,567.30,569.00,565.05,568.50,567.515331609618697475,648986,13542,368309505.00,456200,70.29,3.95,1.20
28-November-2023,562.50,565.20,561.10,564.55,563.047416937170409645,453783,6836,255501346.00,236855,52.20,4.10,2.05
24-November-2023,562.55,562.55,559.30,560.30,560.530392987708695463,808295,20024,453073914.00,237480,29.38,3.25,-2.25
23-November-2023,560.50,563.45,558.35,559.95,560.681791629678351141,434822,12825,243796778.00,162256,37.32,5.10,-0.55
22-November-2023,562.05,564.50,555.25,559.10,559.299173277196113148,358645,8615,200589852.00,180695,50.38,9.25,-2.95
21-November-2023,565.45,566.70,561.00,561.40,563.676088831314384690,274813,6323,154905517.00,144240,52.49,5.70,-4.05
20-November-2023,565.45,566.80,560.45,563.70,564.788423218207646422,618773,15655,349475827.00,261242,42.22,6.35,-1.75
17-November-2023,577.75,577.75,562.50,563.15,566.513625463558464087,1489564,27921,843858302.00,745523,50.05,15.25,-14.60
16-November-2023,584.65,588.00,583.00,584.40,585.378240150052889281,183402,4890,107359540.00,88132,48.05,5.00,-0.25
15-November-2023,586.25,589.00,582.60,584.65,584.867661698733294428,553483,11312,323714308.00,285805,51.64,6.40,-1.60
13-November-2023,581.75,582.50,575.20,581.35,579.283295847018191057,1062610,20834,615552223.00,619367,58.29,7.30,-0.40
12-November-2023,586.30,586.30,580.40,581.20,582.009720791399212827,113571,5391,66099426.00,77268,68.03,5.90,-5.10
10-November-2023,578.65,580.35,575.40,579.40,578.906171304522719981,601607,25888,348274005.00,147255,24.48,4.95,0.75
9-November-2023,580.50,581.90,576.60,578.75,578.422612596408536988,650487,7522,376256390.00,498325,76.61,5.30,-1.75
8-November-2023,581.05,582.50,579.00,580.20,580.551538914998674980,924515,18165,536728606.00,549422,59.43,3.50,-0.85
7-November-2023,575.00,582.00,572.65,580.80,577.354255483510490822,1417477,17181,818386378.00,883459,62.33,9.35,5.80
6-November-2023,583.00,583.00,573.20,574.40,575.601750614462701702,1882539,34323,1083592744.00,1445323,76.78,9.80,-8.60
3-November-2023,576.00,579.25,573.45,578.15,577.860268065334349443,1406672,20871,812859859.00,890590,63.31,5.80,2.15
2-November-2023,571.70,575.30,567.75,571.90,571.326603483314656891,473859,9691,270728253.00,253466,53.49,7.55,0.20
1-November-2023,567.05,569.70,563.90,566.20,567.103041781370057193,426099,7563,241642039.00,76669,17.99,5.80,-0.85
31-October-2023,568.45,569.60,563.10,565.35,566.631293782518966369,172015,4507,97469082.00,42974,24.98,6.50,-3.10
30-October-2023,562.35,566.70,556.60,565.05,562.105777719108632339,242414,5375,136262310.00,72957,30.10,10.10,2.70
27-October-2023,552.85,562.50,549.85,561.00,558.607112888922792329,838984,19525,468662430.00,199245,23.75,12.65,8.15
26-October-2023,552.65,552.65,543.15,547.15,547.600027865108643635,825405,30226,451991801.00,371298,44.98,9.50,-5.50
25-October-2023,558.10,560.80,553.65,556.35,557.537757946883596295,646354,18453,360366760.00,257874,39.90,7.15,-1.75
23-October-2023,563.25,566.00,551.05,553.05,559.370359417932700008,568113,23979,317785573.00,269975,47.52,14.95,-10.20
20-October-2023,570.00,570.25,562.15,563.25,565.111752381748838560,908786,34732,513565649.00,394044,43.36,8.10,-6.75
19-October-2023,570.50,573.80,567.05,571.25,570.651592735362368870,365001,10955,208288402.00,126822,34.75,6.75,0.75
18-October-2023,577.05,579.20,569.45,572.65,573.251939849718654953,317937,8668,182258002.00,105370,33.14,9.75,-4.40
17-October-2023,578.00,579.95,575.20,576.40,577.960035686236359624,421451,10991,243581835.00,149243,35.41,4.75,-1.60
16-October-2023,576.15,578.75,571.55,575.70,576.012682283514883670,539887,14935,310981759.00,212337,39.33,7.20,-0.45
13-October-2023,578.80,581.35,575.00,576.15,577.164327255967124521,1136896,40842,656175815.00,485310,42.69,6.35,-2.65
12-October-2023,591.70,592.95,585.00,586.20,589.293373852755677045,196449,6292,115766094.00,71075,36.18,7.95,-5.50
11-October-2023,596.30,596.90,587.75,588.30,592.289005301408172517,222771,5315,131944814.00,88588,39.77,9.15,-8.00
10-October-2023,586.40,594.90,585.80,591.60,589.929706273971004036,188509,6640,111207059.00,56923,30.20,9.10,5.20
9-October-2023,588.75,588.75,581.60,585.00,584.556955542361435298,220637,6102,128974893.00,74441,33.74,7.15,-3.75
6-October-2023,594.00,598.90,592.25,594.10,595.015033425890589427,607912,15494,361716779.00,165021,27.15,6.65,0.10
5-October-2023,590.85,594.40,587.25,592.25,591.378949198393819512,235839,6329,139470220.00,54541,23.13,7.15,1.40
4-October-2023,600.75,600.75,584.50,585.95,590.210757057545557531,461669,12618,272482010.00,206185,44.66,16.25,-14.80
3-October-2023,597.60,604.45,589.70,602.95,597.825575786149285233,640559,15661,382942553.00,359177,56.07,14.75,5.35
29-September-2023,593.45,600.00,591.45,598.70,596.825746434920668715,657559,16789,392448141.00,334918,50.93,8.55,5.25
28-September-2023,590.70,595.20,589.00,589.95,591.718322970457020409,227736,8131,134755564.00,65090,28.58,6.20,-0.75
27-September-2023,594.30,594.35,588.30,589.50,590.929982834791907026,177685,6269,104999394.00,60503,34.05,6.05,-4.80
26-September-2023,594.10,595.15,591.40,594.30,593.714147352240092646,385118,11037,228650005.00,138415,35.94,3.75,0.20
25-September-2023,600.05,601.70,590.50,594.10,594.398102377675591000,336421,5995,199968004.00,107224,31.87,11.20,-5.95
22-September-2023,593.00,602.00,592.00,598.10,598.228480822026886206,866541,16677,518389506.00,358059,41.32,10.00,5.10
21-September-2023,601.00,606.55,585.00,588.30,593.606388752018056353,440399,9092,261423660.00,106261,24.13,21.55,-12.70
20-September-2023,602.35,606.55,599.55,601.05,603.054321753463580813,399803,8357,241102927.00,160644,40.18,7.00,-1.30
18-September-2023,596.55,608.25,596.55,603.95,605.115684900944890263,432537,8896,261734923.00,150108,34.70,11.70,7.40
15-September-2023,599.00,600.60,595.20,598.40,598.184380411531017622,314144,6530,187916034.00,104413,33.24,5.40,-0.60
14-September-2023,599.35,603.50,595.30,597.20,599.241913072822828774,883061,16016,529167163.00,399418,45.23,8.20,-2.15
13-September-2023,587.05,597.95,583.55,596.45,592.131980624139673467,459128,8692,271864372.00,116129,25.29,14.40,9.40
12-September-2023,592.25,594.15,584.50,588.25,588.595900918233641897,589937,9607,347234500.00,294562,49.93,9.65,-4.00
11-September-2023,586.20,592.30,585.35,591.55,589.969701150569177773,884258,18967,521685428.00,520794,58.90,6.95,5.35
8-September-2023,580.40,588.20,579.60,583.45,584.230189453119338653,1379972,31825,806221303.00,749935,54.34,8.60,3.05
7-September-2023,570.45,581.00,568.45,579.30,574.232540224365107485,810019,10615,465139268.00,519377,64.12,12.55,8.85
6-September-2023,573.25,573.95,568.10,570.45,570.823824210663640682,406259,8185,231902316.00,240738,59.26,5.85,-2.80
5-September-2023,574.65,578.25,571.50,572.90,574.759892597266600434,931075,18683,535144567.00,562372,60.40,6.75,-1.75
4-September-2023,570.05,576.30,568.50,575.55,573.295934666894740549,1590128,26614,911613918.00,997173,62.71,7.80,5.50
1-September-2023,563.00,571.35,562.00,569.70,568.120154716937002257,1710220,31777,971610451.00,962880,56.30,9.35,6.70
31-August-2023,568.65,570.25,559.35,561.30,565.260506227342569878,1385583,35260,783215348.00,710868,51.30,10.90,-7.35
30-August-2023,575.30,577.60,566.30,567.65,572.531036417208423953,1187186,26592,679700831.00,757961,63.85,11.30,-7.65
29-August-2023,573.95,576.25,571.85,575.20,574.515500911287191545,775277,10967,445408654.00,594124,76.63,4.40,1.25
28-August-2023,573.40,574.50,569.20,572.80,572.022851195401856449,623556,13025,356688281.00,290311,46.56,5.30,-0.60
25-August-2023,573.55,575.10,567.35,570.25,571.259780447864791465,1483930,28148,847709526.00,582380,39.25,7.75,-3.30
24-August-2023,577.60,581.80,575.55,576.70,578.718875546005299244,638959,14060,369777634.00,276184,43.22,6.25,-0.90
23-August-2023,571.00,577.90,566.05,576.90,573.445702347749412692,472921,7866,271194515.00,131008,27.70,11.85,5.90
22-August-2023,571.60,574.30,567.55,568.30,570.608591832603800318,316184,6890,180417307.00,122674,38.80,6.75,-3.30
21-August-2023,573.00,575.50,570.65,571.45,572.657103857798952793,460081,12275,263468653.00,252907,54.97,4.85,-1.55
18-August-2023,571.50,575.15,567.00,573.05,572.452169102954411798,1231108,18362,704750445.00,217996,17.71,8.15,1.55
