year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,17258,16747,511,3,344,5,35,816,11,728,7.28,14
2015-03-01,23299,22505,794,3,183,4,34,939,13,815,8.15,15
2016-03-01,19324,18404,920,5,129,5,37,1007,16,844,8.44,14
2017-03-01,30548,29479,1068,4,139,5,48,1154,17,955,9.55,16
2018-03-01,34068,32736,1332,4,156,6,59,1422,19,1150,11.5,17
2019-03-01,44604,43130,1474,3,266,8,92,1642,19,1327,13.27,15
2020-03-01,43798,42447,1351,3,529,0,89,1790,21,1422,14.22,0
2021-03-01,81913,81040,872,1,867,0,99,1640,11,1456,14.56,17
2022-03-01,82983,82254,730,1,1032,0,75,1687,11,1506,15.05,13
2023-03-01,80636,78713,1923,2,51,0,68,1906,10,1721,17.19,15
2024-03-01,131988,129884,2104,2,50,0,76,2078,9,1894,18.91,14
2025-03-01,116888,114112,2776,2,0,0,84,2693,10,2413,24.08,11
2026-03-03,131315,129970,1346,1,1385,0,0,2731,,2479,24.73,
