Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,1045.20,1055.25,1034.60,1039.00,1042.394305784353339756,64346,3806,67073904.00,33267,51.70,20.65,-6.20
29-December-2022,1030.00,1046.85,1028.85,1044.50,1038.849560088949047665,20686,1354,21489642.00,7730,37.37,18.00,14.50
28-December-2022,1029.00,1038.40,1026.50,1035.35,1033.697680722891566265,33200,3008,34318763.00,18735,56.43,11.90,6.35
27-December-2022,1039.95,1040.35,1030.35,1036.45,1036.290720311486048020,16951,1243,17566164.00,10464,61.73,10.00,-3.50
26-December-2022,1029.05,1041.25,1029.05,1031.25,1033.982932208265413750,52145,4378,53917040.00,28420,54.50,12.20,2.20
23-December-2022,1023.05,1043.85,1023.05,1030.75,1033.671798762817067644,94893,3842,98088218.00,62754,66.13,20.80,7.70
22-December-2022,1042.00,1054.10,1033.30,1038.65,1042.078926275497685374,61133,3820,63705411.00,31842,52.09,20.80,-3.35
21-December-2022,1035.00,1053.00,1035.00,1040.20,1040.504263487892167887,253431,15358,263696036.00,171642,67.73,18.00,5.20
20-December-2022,1023.55,1032.00,1011.60,1029.85,1023.586551598068079047,103938,8010,106389539.00,61462,59.13,20.40,6.30
19-December-2022,1027.10,1037.25,1023.60,1033.25,1028.082719149051051537,148164,11038,152324848.00,115602,78.02,13.65,6.15
16-December-2022,1030.00,1046.00,1023.00,1030.15,1036.772661428383301874,45562,2797,47237436.00,9568,21.00,23.00,0.15
15-December-2022,1054.95,1054.95,1037.10,1042.30,1042.386139993867253923,35873,1993,37393518.00,10757,29.99,17.85,-12.65
14-December-2022,1042.05,1056.90,1042.05,1055.95,1052.780860037935509633,160272,8383,168731294.00,86562,54.01,14.85,13.90
13-December-2022,1031.00,1046.20,1031.00,1044.75,1039.655797832963187293,59436,2942,61792982.00,18736,31.52,15.20,13.75
12-December-2022,1026.00,1038.90,1012.05,1028.30,1026.399878113467333280,88607,4919,90946214.00,36327,41.00,26.85,2.30
9-December-2022,1077.00,1077.00,1020.70,1027.30,1035.565451218503859164,278169,14323,288062206.00,106550,38.30,56.30,-49.70
