year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-06-01,32144,24108,8035,25,677,114,681,7917,18,6528,23.25,11
2015-06-01,36701,28215,8486,23,1126,91,404,9117,20,7342,26.02,58
2016-03-01,31136,24482,6654,21,871,74,410,7041,20,5602,19.86,40
2017-03-01,47568,37178,10390,22,1069,89,828,10542,18,8606,30.16,40
2018-03-01,50569,39323,11246,22,1230,69,1383,11024,21,8722,31.32,19
2019-03-01,60427,46501,13926,23,943,174,2073,12622,20,10120,37.31,11
2020-03-01,70676,53360,17316,24,589,505,3420,13980,21,11057,40.75,25
2021-03-01,75379,55331,20048,27,927,511,4611,15853,30,11169,41.07,24
2022-03-01,85651,65122,20529,24,1067,319,4326,16951,20,13523,49.74,84
2023-03-01,101456,78828,22628,22,1358,353,4145,19488,24,14845,54.73,88
2024-03-01,109913,85715,24198,22,1495,553,4173,20967,25,15710,57.86,90
2025-03-01,117055,91551,25504,22,2485,644,4084,23261,25,17399,64.08,94
2026-03-03,126409,99935,26474,21,749,785,4303,22135,,16471,60.66,
