year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,35306,22227,13080,37,966,29,965,13052,31,9001,7.45,54
2015-03-01,38817,24566,14252,37,1229,91,1028,14362,32,9779,8.04,52
2016-03-01,39192,24661,14531,37,1483,78,1077,14859,36,9501,7.74,73
2017-03-01,42768,27298,15470,36,1759,49,1153,16026,35,10477,8.47,56
2018-03-01,43449,26928,16521,38,2240,115,1236,17409,34,11493,9.24,56
2019-03-01,48340,29802,18537,38,2080,71,1397,19150,33,12836,10.27,56
2020-03-01,49388,30044,19344,39,2417,81,1645,20035,22,15593,12.45,82
2021-03-01,49257,32193,17065,35,2577,58,1646,17938,25,13383,10.69,101
2022-03-01,60645,40021,20623,34,1910,60,1732,20740,25,15503,12.37,93
2023-03-01,70919,45215,25704,36,2098,78,1809,25915,25,19477,15.44,100
2024-03-01,67932,42744,25188,37,3330,39,1518,26961,23,20751,16.39,84
2025-03-01,75323,49484,25839,34,17795,45,1646,41943,16,35052,27.77,52
2026-03-03,79809,52896,26913,34,17203,67,1700,42350,,35356,27.98,
