date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2026-01-09,3185.05,3229.3,3185.05,3208.0,161257,13031,517327025.0
2026-01-08,3294.45,3294.45,3181.6,3204.3,446517,36938,1433855458.0
2026-01-07,3247.2,3300.0,3230.5,3294.45,119941,15829,393885600.0
2026-01-06,3211.1,3259.0,3206.4,3255.75,24666,2353,79901307.0
2026-01-05,3249.85,3249.85,3191.85,3214.7,126704,7262,408624629.0
2026-01-02,3243.4,3253.4,3220.0,3250.1,63797,3782,206705904.0
2026-01-01,3206.05,3234.25,3198.75,3226.8,220572,15967,710708265.0
2025-12-31,3246.0,3246.0,3199.1,3205.75,126727,13271,407466184.0
2025-12-30,3240.1,3266.0,3239.5,3247.5,58391,5444,189825147.0
2025-12-29,3279.8,3286.0,3243.5,3253.65,74178,4550,241607184.0
2025-12-26,3312.0,3319.0,3274.0,3279.8,94124,8221,309626373.0
2025-12-24,3308.8,3326.0,3295.4,3320.35,156179,19882,517538986.0
2025-12-23,3324.4,3324.4,3294.2,3310.5,97640,10517,322413908.0
2025-12-22,3300.1,3328.2,3290.4,3324.65,142041,9540,470512343.0
2025-12-19,3300.0,3317.9,3277.2,3282.6,65524,5568,216310119.0
2025-12-18,3234.7,3288.7,3224.05,3280.1,309024,30156,1009853581.0
2025-12-17,3204.55,3236.1,3201.05,3217.6,37162,2976,119664263.0
2025-12-16,3221.0,3221.05,3191.0,3204.55,60794,5393,194735541.0
2025-12-15,3220.1,3237.0,3196.3,3230.4,53689,3194,173014591.0
2025-12-12,3198.7,3223.95,3184.95,3220.15,113769,4750,365501140.0
2025-12-11,3206.0,3207.75,3153.75,3191.6,397514,23648,1266559457.0
2025-12-10,3208.25,3216.5,3178.7,3188.15,174012,14252,555112973.0
2025-12-09,3226.25,3236.2,3180.8,3208.25,171236,16206,547455217.0
2025-12-08,3238.0,3259.8,3210.0,3237.9,219632,13071,711891993.0
2025-12-05,3239.5,3270.7,3223.25,3238.9,350070,15947,1137296411.0
2025-12-04,3181.25,3249.95,3181.25,3228.9,532289,25418,1718688270.0
2025-12-03,3150.0,3212.0,3136.0,3179.95,217359,10614,692041499.0
2025-12-02,3125.2,3143.7,3121.05,3135.6,69073,5829,216375790.0
2025-12-01,3135.0,3152.5,3122.7,3135.7,204505,12220,640976868.0
2025-11-28,3136.5,3146.95,3125.0,3139.65,63941,5058,200607914.0
2025-11-27,3174.15,3178.85,3125.0,3136.9,401820,28530,1261513940.0
2025-11-26,3119.8,3177.0,3117.95,3162.25,165644,18654,522607662.0
2025-11-25,3140.75,3146.95,3115.45,3119.8,105596,3592,330820755.0
2025-11-24,3145.45,3179.0,3131.4,3140.55,112076,6751,353412971.0
2025-11-21,3145.75,3170.0,3136.0,3150.05,242380,13637,764493118.0
2025-11-20,3150.0,3163.5,3137.15,3145.75,361891,21681,1139411866.0
2025-11-19,3103.95,3156.0,3084.05,3147.2,122096,10947,382908785.0
2025-11-18,3100.0,3102.0,3080.0,3085.65,104079,6976,321724099.0
2025-11-17,3109.95,3111.0,3087.6,3102.55,41297,5479,127991754.0
2025-11-14,3099.75,3112.1,3077.5,3105.0,167532,8776,518670613.0
2025-11-13,3131.25,3132.0,3101.05,3105.7,477009,28641,1483329150.0
2025-11-12,3056.1,3136.0,3056.1,3131.25,309022,22297,960175532.0
2025-11-11,3047.9,3055.0,3017.5,3048.15,111395,8134,338241874.0
