year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,22,0,84,,,84,47,45
2015-03-01,0,0,19,0,84,,,84,54,32
2016-03-01,0,0,16,0,80,,,80,58,27
2017-03-01,0,0,14,0,67,,,67,57,23
2018-03-01,0,0,15,0,77,,,77,42,24
2019-03-01,0,0,18,0,73,,,73,24,25
2020-03-01,0,0,15,0,75,,,75,35,22
2021-03-01,0,0,18,0,62,,,62,24,23
2022-03-01,0,0,18,0,98,,,98,29,26
2023-03-01,0,0,15,0,88,,,88,28,22
2024-03-01,0,0,9,0,80,,,80,23,12
2025-03-01,0,0,13,0,80,,,80,25,19
