year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,493,31636,5159,12245,49533,10649,369,6146,32368,49533
2015-03-01,494,36598,7891,13367,58350,10837,395,5532,41586,58350
2016-03-01,494,45651,12522,12924,71590,17279,381,20915,33016,71590
2017-03-01,486,51184,14241,12761,78672,19886,738,29913,28135,78672
2018-03-01,905,47022,13901,13563,75391,18127,1378,25797,30090,75391
2019-03-01,1207,55216,9947,16217,82586,17465,2142,22887,40093,82586
2020-03-01,1143,54179,9724,15954,81000,22062,1881,20032,37024,81000
2021-03-01,1096,53805,10451,17213,82566,23040,1853,18775,38898,82566
2022-03-01,1096,64307,17593,24280,107276,37990,1602,26154,41531,107276
2023-03-01,1098,76570,17467,21789,116924,44757,617,33073,38477,116924
2024-03-01,1045,73943,16465,23611,115064,44083,748,33384,36848,115064
2025-03-01,2094,80736,19204,26362,128396,45654,221,43926,38595,128396
2025-09-01,2097,83489,16164,28832,130582,46380,268,42500,41435,130582
