year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,43424,33788,9635,22,1922,383,1060,10114,21,7991,6.04,25
2015-03-01,46951,36652,10299,22,2450,350,1175,11224,22,8714,6.58,34
2016-03-01,51244,40448,10796,21,2752,558,1496,11494,22,8957,6.76,17
2017-03-01,55448,44128,11321,20,2623,594,2310,11039,23,8518,6.55,6
2018-03-01,54487,44100,10387,19,2550,583,2112,10242,22,8003,6.63,6
2019-03-01,59019,47406,11613,20,2614,738,1947,11542,22,9018,7.46,7
2020-03-01,61138,48795,12342,20,2728,733,2086,12252,20,9772,8.51,6
2021-03-01,61935,47164,14771,24,2404,509,2763,13903,22,10868,9.85,5
2022-03-01,79312,62628,16684,21,2067,532,3078,15141,19,12243,11.15,27
2023-03-01,90488,73649,16839,19,2275,1008,3340,14766,23,11366,10.34,5
2024-03-01,89760,73008,16752,19,2631,1255,3407,14721,25,11112,10.57,5
2025-03-01,89088,71067,18021,20,3909,1477,2958,17496,24,13218,12.54,48
2026-03-03,90892,73366,17526,19,4260,1464,2904,17418,,13332,12.66,
