year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,971,39561,81629,49443,171604,74907,26822,5093,64781,171604
2015-03-01,971,30378,80701,47059,159109,68100,28678,3455,58876,159109
2016-03-01,970,42762,81987,51165,176884,72200,35996,10714,57974,176884
2017-03-01,970,36849,83014,51614,172447,92007,15784,12457,52200,172447
2018-03-01,1145,59726,92147,55704,208722,96105,16614,17899,78103,208722
2019-03-01,1145,67780,100816,63032,232773,124442,18641,5738,83952,232773
2020-03-01,1145,72431,116328,59245,249149,134551,19497,6285,88816,249149
2021-03-01,1198,73041,88501,81169,243909,135775,19007,10682,78445,243909
2022-03-01,1221,113222,75561,92417,282422,133288,22046,13140,113948,282422
2023-03-01,1221,101861,84893,97421,285396,146621,31213,8410,99151,285396
2024-03-01,1247,90788,87082,90195,269312,148814,34356,6258,79885,269312
2025-03-01,1247,89922,94801,89488,275459,150914,41622,6194,76728,275459
2025-09-01,1247,93700,95643,94975,285565,166095,33152,6903,79415,285565
