year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,13146,-15378,1015,-1218
2015-03-01,11880,-9021,-2617,241
2016-03-01,11455,-8794,-4729,-2068
2017-03-01,10824,-9490,-2579,-1245
2018-03-01,8023,-11730,6640,2933
2019-03-01,25336,-29176,-673,-4513
2020-03-01,20169,-14012,-1695,4462
2021-03-01,44327,-9437,-37090,-2200
2022-03-01,44381,-10905,-23401,10075
2023-03-01,21683,-18179,-6981,-3477
2024-03-01,20301,-14253,-11097,-5049
2025-03-01,23512,-13985,-7002,2524
