year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,148614,132430,16184,11,716,4337,5841,6722,45,3665,3.19,27
2015-03-01,139504,136095,3409,2,5994,4848,5944,-1388,185,-3939,-3.48,-20
2016-03-01,101965,102590,-625,-1,10346,4221,5306,193,358,-497,-0.34,-203
2017-03-01,112299,99156,13144,12,-3789,5072,5673,-1391,200,-4169,-3.76,-23
2018-03-01,123249,101816,21433,17,10898,5455,5742,21135,16,17743,11.93,9
2019-03-01,157669,128351,29318,19,1524,7660,7342,15841,42,9122,9.07,15
2020-03-01,139817,122354,17463,12,-2884,7533,8441,-1395,-184,1174,1.38,74
2021-03-01,156477,125973,30504,19,180,7607,9234,13844,41,8190,6.26,40
2022-03-01,243959,180469,63490,26,1300,5462,9101,50227,17,41749,32.88,16
2023-03-01,243353,211053,32300,13,1569,6299,9335,18235,56,8075,7.17,50
2024-03-01,229171,206923,22248,10,-6005,7508,9882,-1147,328,-4910,-3.55,-101
2025-03-01,218543,193244,25298,12,877,7341,10421,8413,62,3174,2.74,131
2026-03-14,225088,194005,31083,14,845,7163,11406,13358,,9122,7.33,
