year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,11,0,39,156,133,62,-43,10
2015-03-01,0,0,2,0,35,165,126,74,-6,1
2016-03-01,0,0,-1,0,43,180,167,56,-47,1
2017-03-01,0,0,12,0,38,230,172,96,-32,6
2018-03-01,0,0,17,0,37,224,161,99,-31,12
2019-03-01,0,0,19,0,27,190,130,87,-18,14
2020-03-01,0,0,12,0,21,197,136,82,-38,6
2021-03-01,0,0,19,0,22,215,167,69,-55,12
2022-03-01,0,0,26,0,18,213,161,71,-34,31
2023-03-01,0,0,13,0,12,175,122,66,-42,13
2024-03-01,0,0,10,0,10,176,108,78,-59,7
2025-03-01,0,0,12,0,9,171,113,67,-50,9
