year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,206,40398,64756,32621,137982,61163,23059,12961,40798,137982
2015-03-01,207,38122,68468,34950,141746,71959,14111,12346,43330,141746
2016-03-01,207,40402,67552,32986,141146,85648,4214,12463,38821,141146
2017-03-01,223,45836,63817,36268,146144,84687,1814,15157,44486,146144
2018-03-01,223,54629,52074,40088,147014,85088,2063,10781,49081,147014
2019-03-01,222,57279,52415,42056,151972,85860,4097,9012,53003,151972
2020-03-01,222,58095,68399,41902,168618,89195,7721,9411,62291,168618
2021-03-01,222,66311,67206,55083,188822,100269,10202,17133,61218,188822
2022-03-01,222,77969,64486,79178,221855,106874,4945,14119,95917,221855
2023-03-01,222,94584,60291,68392,223489,110626,7700,14116,91047,223489
2024-03-01,222,105924,56356,68221,230723,111810,14867,15444,88602,230723
2025-03-01,222,123487,63929,76662,264300,116556,27397,24158,96189,264300
2025-09-01,222,134644,74878,86936,296680,122373,34680,29506,110121,296680
