year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,7956,-8095,1493,1353
2015-03-01,7143,-3873,-2437,833
2016-03-01,11688,-3220,-8862,-394
2017-03-01,12687,-2876,-5552,4259
2018-03-01,10898,5333,-16412,-181
2019-03-01,11977,-5456,-5466,1055
2020-03-01,12745,-7227,6656,12174
2021-03-01,17232,-25280,-4882,-12930
2022-03-01,16838,-6773,-6765,3300
2023-03-01,19208,-7559,-10450,1199
2024-03-01,24056,-14267,-10817,-1028
2025-03-01,24410,-24609,-1816,-2015
